id,choice_index,answer,color_hex,pct
1,1,sub (or submarine),#ff0000,52.0
1,2,hoagie,#00ff00,8.0
1,3,deli or deli sandwich,#0000ff,6.0
1,4,I only call it a sandwich,#ffff00,5.0
1,5,hero,#ff00ff,3.0
1,6,club sandwich,#00ffff,3.0
1,7,poor boy (or po-boy),#000000,2.0
2,1,soda,#ff0000,41.0
2,2,pop,#00ff00,17.0
2,3,coke,#0000ff,10.0
2,4,soft drink,#ffff00,10.0
2,5,I just call each kind by its individual name,#ff00ff,5.0
2,6,soda pop,#00ffff,3.0
2,7,fountain drink,#000000,2.0
7,1,tennis shoes or tennishoes,#ff0000,33.0
7,2,sneakers or sneaks,#00ff00,29.0
7,3,gym shoes,#0000ff,8.0
7,4,running shoes,#ffff00,8.0
7,5,shoes,#ff00ff,6.0
7,6,tennies or tenners,#00ffff,3.0
7,7,trainers,#000000,2.0
13,1,crawfish,#ff0000,37.0
13,2,crayfish,#00ff00,23.0
13,3,"crawdad, crawdaddy",#0000ff,21.0
13,4,I have no word for this critter,#ffff00,4.0
13,5,lobster,#ff00ff,2.0
13,6,crab,#00ffff,1.0
13,7,prawn,#000000,1.0
20,1,you guys,#ff0000,35.0
20,2,"y'all, ya'll",#00ff00,15.0
20,3,you all,#ffff00,12.0
20,4,you,#0000ff,12.0
20,5,all of you,#ff00ff,8.0
20,6,all y'all,#00ffff,4.0
20,7,you people,#000000,3.0
21,1,"roly poly, rollie pollie, rolly polly",#ff0000,43.0
21,2,pillbug,#00ff00,15.0
21,3,potato bug,#0000ff,11.0
21,4,I just call them bugs,#ffff00,4.0
21,5,I don't know this creature,#ff00ff,4.0
21,6,sow bug,#000000,2.0
21,7,"I know what this creature is, but I have no word for it",#00ffff,2.0
30,1,I have no special word or phrase for this,#ff0000,48.0
30,2,sunshower,#00ff00,35.0
30,3,"the devil is beating his wife, the devil is whipping his wife",#0000ff,7.0
30,4,liquid sun(shine),#ffff00,1.0
31,1,"sleep, sleeps, eye sleep",#ff0000,20.0
31,2,"boogers, eye boogers, eye boogies",#00ff00,17.0
31,3,"gunk, eye gunk, sleep gunk, guck, eye guck",#0000ff,11.0
31,4,"crusties, eye crusties",#ffff00,9.0
31,5,"crust, eye crust",#ff00ff,8.0
31,6,"sleepies, sleepy",#00ffff,5.0
31,7,sand,#000000,5.0
67,1,"with the same vowel as in the word ""man""",#ff0000,60.0
67,2,"with the same vowel as in the word ""ah""",#00ff00,18.0
67,3,"with the vowel in ""don"" when referring to the general concept of an aunt, but with the vowel in ""man"" when referring to a specific person by name (e.g. ""Aunt Mary"")",#0000ff,5.0
67,4,"with the same vowel as in the word ""dawn"", which for me *is* the same sound as in ""don""",#ffff00,4.0
67,5,"with the same vowel as in the word ""dawn"", which for me is *not* the same sound as in ""don""",#00ffff,3.0
67,6,"with the same vowel as in the word ""ain't""",#ff00ff,3.0
67,7,"with the vowel in ""man"" when referring to the general concept of an aunt, but with the vowel in ""don"" when referring to a specific person by name (e.g. ""Aunt Mary"")",#000000,1.0
68,1,garage sale,#ff0000,42.0
68,2,yard sale,#00ff00,33.0
68,3,"yard sale and garage sale are interchangeable, but I wouldn't use any of the others",#0000ff,11.0
68,4,rummage sale,#ffff00,4.0
68,5,tag sale,#ff00ff,1.0
68,6,car boot sale,#000000,1.0
68,7,estate sale,#00ffff,1.0
69,1,shopping cart,#ff0000,50.0
69,2,grocery cart,#00ff00,20.0
69,3,cart (but not shopping cart or grocery cart),#0000ff,12.0
69,4,"buggy, shopping buggy",#ffff00,7.0
69,5,"trolley, supermarket trolley, shopping trolley",#00ffff,3.0
69,6,"basket, grocery basket, shopping basket",#ff00ff,3.0
69,7,"carriage, shopping carriage",#000000,1.0
70,1,roundabout,#ff0000,50.0
70,2,traffic circle,#00ff00,24.0
70,3,rotary,#ffff00,7.0
70,4,circle,#0000ff,7.0
70,5,I have no specific term for this,#ff00ff,3.0
70,6,loop,#00ffff,1.0
71,1,"Yes, I always pronounce the [r]",#ff0000,91.0
71,2,I'm not sure whether I pronounce the [r] or not in such cases,#00ff00,3.0
71,3,"No, I never pronounce the [r]",#ffff00,2.0
71,4,"I pronounce the [r] when the next word begins with a vowel (""the bar is open"") but not when the next word begins with a consonant",#0000ff,2.0
72,1,"""sawing"" and ""saw it"" - I don't pronounce an [r] in either one",#ff0000,93.0
72,2,"""saw[r]ing"" and ""saw[r] it"" - I pronounce an [r] in both",#00ff00,2.0
72,3,"I can say ""saw[r]ing"", but I would never pronounce an [r] in ""saw it""",#ffff00,1.0
72,4,"I can say ""saw[r] it"", but I would never pronounce an [r] in ""sawing""",#0000ff,1.0
73,1,blah-ish (no [r]),#ff0000,74.0
73,2,"I would avoid saying this form, so as to avoid having to decide whether to pronounce an [r] or not",#00ff00,8.0
73,3,blah[r]ish (I pronounce an [r]),#0000ff,1.0
73,4,blah-ish or blah[r]ish (I can pronounce this with or without an [r]--both sound acceptable to me),#ffff00,1.0
74,1,"""shah of"" (I don't pronounce an [r])",#ff0000,89.0
74,2,"""shah[r] of"" (I pronounce an [r])",#00ff00,4.0
74,3,"I would avoid using this phrasing, so that I wouldn't have to decide whether to pronounce an [r] or not",#0000ff,3.0
74,4,"""shah of "" or ""shah[r] of"" (I can either pronounce an [r] or not--both sound acceptable to me)",#ffff00,1.0
75,1,they are identical: both begin with a [w] sound,#ff0000,79.0
75,2,"they are different: <witch> begins with a [w] sound, and <which> begins with a sort of [hw] sound",#0000ff,9.0
75,3,I always pronounce <witch> with a [w] sound; I can pronounce <which> with either a [w] or a [hw] sound,#00ff00,9.0
76,1,dinner,#ff0000,58.0
76,2,either dinner or supper; I don't distinguish the two,#00ff00,15.0
76,3,supper,#0000ff,11.0
76,4,"supper informally, and dinner in formal situations",#ffff00,5.0
76,5,tea,#000000,1.0
76,6,supper is an evening meal while dinner is eaten earlier,#00ffff,1.0
76,7,dinner is a big meal; supper is a lighter meal,#ff00ff,1.0
77,1,"""in line"" or ""in a line""",#ff0000,88.0
77,2,"""in a queue""",#00ff00,5.0
77,3,"""on line"" or ""on a line""",#0000ff,4.0
78,1,couch,#ff0000,43.0
78,2,"I use ""couch"" and ""sofa"" interchangeably, but none of the others",#00ff00,24.0
78,3,sofa,#0000ff,18.0
78,4,"I use both couch and sofa, but a sofa is fancier than a couch",#ffff00,4.0
78,5,"I use both couch and sofa, but a couch is bigger than a sofa",#ff00ff,2.0
78,6,davenport,#000000,1.0
78,7,settee,#00ffff,1.0
79,1,liquor store,#ff0000,74.0
79,2,ABC store,#00ff00,5.0
79,3,package store (or packie),#0000ff,4.0
79,4,off-licence or offie,#ff00ff,2.0
79,5,"state store, state liquor store",#ffff00,2.0
79,6,beer store,#00ffff,2.0
79,7,party store,#000000,1.0
80,1,bathroom,#ff0000,32.0
80,2,restroom,#00ff00,31.0
80,3,men's room or ladies' room,#0000ff,14.0
80,4,toilet,#ffff00,4.0
80,5,washroom,#ff00ff,2.0
80,6,facilities,#00ffff,1.0
80,7,little girl's room,#000000,1.0
81,1,emergency brake,#ff0000,48.0
81,2,parking brake,#00ff00,31.0
81,3,hand brake,#ffff00,9.0
81,4,e brake,#0000ff,9.0
82,1,stick-shift,#ff0000,35.0
82,2,manual (transmission),#00ff00,27.0
82,3,stick,#0000ff,24.0
82,4,standard (transmission),#ffff00,8.0
82,5,five-speed,#ff00ff,2.0
83,1,pacifier or passie,#ff0000,65.0
83,2,binky,#00ff00,19.0
83,3,"nuk, nook, nookie, nuchie, noodgie, noo noo, nunu, noonie",#0000ff,3.0
83,4,dummy or dumdum,#ffff00,3.0
83,5,soother,#ff00ff,1.0
83,6,plug or plugger,#00ffff,1.0
84,1,take-out,#ff0000,53.0
84,2,to-go,#00ff00,24.0
84,3,carry-out,#0000ff,12.0
84,4,take-away,#ffff00,4.0
84,5,pick-up,#ff00ff,3.0
85,1,waterbug,#ff0000,40.0
85,2,I have no word for this critter,#00ff00,17.0
85,3,water strider,#0000ff,10.0
85,4,water spider,#ffff00,5.0
85,5,water-skeeter,#00ffff,3.0
85,6,water skimmer,#ff00ff,3.0
85,7,pond skimmer,#000000,2.0
86,1,alley,#ff0000,66.0
86,2,alleyway,#00ff00,18.0
86,3,back alley,#0000ff,6.0
86,4,walkway,#ffff00,1.0
86,5,backstreet,#ff00ff,1.0
86,6,lane,#00ffff,1.0
86,7,ginnel,#000000,0.0
87,1,"ATM, ATM machine",#ff0000,78.0
87,2,cash machine,#00ff00,7.0
87,3,bank machine,#0000ff,3.0
87,4,MAC machine,#ffff00,2.0
87,5,money machine,#000000,1.0
87,6,automatic teller or automated teller,#00ffff,1.0
87,7,cashpoint,#ff00ff,1.0
88,1,pinkie toe,#ff0000,46.0
88,2,little toe,#00ff00,23.0
88,3,pinkie,#0000ff,16.0
88,4,baby toe,#ffff00,9.0
88,5,small toe,#00ffff,1.0
88,6,"piggie, piggie toe, little piggie",#ff00ff,1.0
89,1,green onion,#ff0000,46.0
89,2,scallion,#00ff00,26.0
89,3,chive,#0000ff,8.0
89,4,spring onion,#ffff00,5.0
89,5,leek,#ff00ff,4.0
89,6,shallot,#00ffff,3.0
89,7,I have no special term for this,#000000,2.0
240,1,pop,#ff0000,39.0
240,2,soda,#00ff00,37.0
240,3,coke,#0000ff,18.0
240,4,soft drink,#ffff00,1.0
241,1,"[æ] as in ""ant""",#ff0000,76.0
241,2,"[ɑ] as in ""ah""",#00ff00,9.0
241,3,"I use [ɑ/ɒ] when referring to the general concept of an aunt, but [æ] when referring to a specific person by name.",#0000ff,5.0
241,4,"[ɒ] as in ""caught""",#ff00ff,2.0
