cambridge_id,cambridge_choice,hds_question,hds_choice,confidence,note
241,"[æ] as in ""ant""",1,"[æ] as in ""ant""",medium,verbatim HDS re-run; phonetic item with real but subtler geography; some variants fall on secondary colours.
241,"[ɑ] as in ""ah""",1,"[ɑ] as in ""ah""",medium,verbatim HDS re-run; phonetic item with real but subtler geography; some variants fall on secondary colours.
241,"I use [ɑ/ɒ] when referring to the general concept of an aunt, but [æ] when referring to a specific person by name.",1,"I use [ɑ/ɔ] when referring to the general concept of an aunt, but [æ] when referring to a specific person by name.",medium,verbatim HDS re-run; phonetic item with real but subtler geography; some variants fall on secondary colours.
241,"[ɒ] as in ""caught""",1,"[ɔ] as in ""caught""",medium,verbatim HDS re-run; phonetic item with real but subtler geography; some variants fall on secondary colours.
241,"I have the same vowel in ""ah"", ""caught"", and ""aunt""",1,"I have the same vowel in ""ah"", ""caught"", and ""aunt""",medium,verbatim HDS re-run; phonetic item with real but subtler geography; some variants fall on secondary colours.
241,"I use [æ] when referring to the general concept of an aunt, but [ɑ/ɒ] when referring to a specific person by name.",1,"I use [ɑ/ɔ] when referring to the general concept of an aunt, but [æ] when referring to a specific person by name.",medium,verbatim HDS re-run; phonetic item with real but subtler geography; some variants fall on secondary colours.
242,"[ɪ] as in ""sit""",2,"[ɪ] as in ""sit""",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
242,"[ɛ] as in ""set""",2,"[ɛ] as in ""set""",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
242,"[i:] as in ""see""",2,"[i:] as in ""see""",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
243,"[o:] as in ""Bo""",3,"[o:] as in ""Bo""",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
243,"[u:] as in ""boo""",3,"[u:] as in ""boo""",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
243,"I have seen this word in print, but have no idea how to pronounce it",3,"I have seen this word in print, but have no idea how to pronounce it",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
243,I have never seen or heard this word,3,I have never seen or heard this word,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
244,"with 2 syllables (""car-ml"")",4,"with 2 syllables (""car-ml"")",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
244,"with 3 syllables (""carra-mel"")",4,"with 3 syllables (""carra-mel"")",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
244,I use both interchangeably,4,I use both interchangeably,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
244,"I have both forms, but the two have different meanings (please state how in the comments box)",4,"I have both forms, but the two have different meanings (please state how in the comments box)",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
245,"[ɪ] as in ""sit""",5,"[ɪ] as in ""sit""",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
245,"[i:] as in ""see""",5,"[i:] as in ""see""",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
246,"[ɑ] as in ""car"" (""sen-tar"")",6,"[ɑ] as in ""car"" (""sen-tar"")",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
246,"rhymes with ""sore"" and ""more"" (""sen-tore"")",6,"rhymes with ""sore"" and ""more"" (""sen-tore"")",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
246,"[ɒ] as in ""caught""",6,"[ɔ] as in ""caught""",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
246,"I use the same vowel in ""car"", ""caught"", and ""centaur""",6,"I use the same vowel in ""car"", ""caught"", and ""centaur""",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
247,"with [u:] as in ""coop"" (""coopon"")",7,"with [u:] as in ""coop"" (""coopon"")",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
247,"with [ju:] as in ""cute"" (""cyoopon"")",7,"with [ju:] as in ""cute"" (""cyoopon"")",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
248,"[e:] as in ""say""",8,"[e:] as in ""say""",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
248,"[ɛ] as in ""set""",8,"[ɛ] as in ""set""",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
248,"I say something in between the vowels in ""set"" and ""say"", but closer to the one in ""say""",8,"I say something in between the vowels in ""set"" and ""say"", but closer to the one in ""say""",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
248,"I say something in between the vowels in ""set"" and ""say"", but closer to the one in ""set""",8,"I say something in between the vowels in ""set"" and ""say"", but closer to the one in ""set""",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
249,"[ejɑ] (2 syllables, ""cray-ahn"")",9,"[ejɑ] (2 syllables, ""cray-ahn"")",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
249,"[ejɒ] (2 syllables, ""cray-awn"", where the second syllable rhymes with ""dawn"")",9,"[ejɑ] (2 syllables, ""cray-ahn"")",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
249,"[æ] as in ""man"" (1 syllable, ""cran"")",9,"[æ] as in ""man"" (1 syllable, ""cran"")",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
249,"[aw] (I pronounce this the same as ""crown"")",9,"[aw] (I pronounce this the same as ""crown"")",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
250,"[i:] as in ""see""",10,"[i:] as in ""see""",medium,verbatim HDS re-run; phonetic item with real but subtler geography; some variants fall on secondary colours.
250,I use both interchangeably,10,I use both interchangeably,medium,verbatim HDS re-run; phonetic item with real but subtler geography; some variants fall on secondary colours.
250,"[ɪ] as in ""sit""",10,"[ɪ] as in ""sit""",medium,verbatim HDS re-run; phonetic item with real but subtler geography; some variants fall on secondary colours.
250,"I use both, but they mean two different things (please state how they differ in the comments box)",10,"I use both, but they mean two different things (please state how they differ in the comments box)",medium,verbatim HDS re-run; phonetic item with real but subtler geography; some variants fall on secondary colours.
251,"[ɑ] as in ""ah"" (""flah-ri-da"")",11,"[ɑ] as in ""ah"" (""flah-ri-da"")",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
251,"[ɒ] as in ""saw"" (""flaw-ri-da"")",11,"[ɔ] as in ""saw"" (""flaw-ri-da"")",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
251,"[o:] as in ""flow"" (""flow-ri-da"")",11,"[o:] as in ""flow"" (""flow-ri-da"")",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
252,"[ə] as in ""bird"" (""flurr-ish"")",12,"[ə] as in ""bird"" (""flurr-ish"")",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
253,"[ɪ] as in ""sit""",13,"[ɪ] as in ""sit""",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
253,"[i:] as in ""see""",13,"[i:] as in ""see""",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
254,"with [ɔj] as in ""boy"" (""loyer"")",14,"with [[backwardsc]j] as in ""boy"" (""loyer"")",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
254,"with [ɒ] as in ""saw"" (""law-yer"")",14,"with [ɔ] as in ""saw"" (""law-yer"")",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
254,I use both interchangeably,14,I use both interchangeably,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
255,all 3 are the same,15,all 3 are the same,medium,verbatim HDS re-run; phonetic item with real but subtler geography; some variants fall on secondary colours.
255,Mary and marry are the same; merry is different,15,Mary and marry are the same; merry is different,medium,verbatim HDS re-run; phonetic item with real but subtler geography; some variants fall on secondary colours.
255,all 3 are different,15,all 3 are different,medium,verbatim HDS re-run; phonetic item with real but subtler geography; some variants fall on secondary colours.
255,Mary and merry are the same; marry is different,15,Mary and merry are the same; marry is different,medium,verbatim HDS re-run; phonetic item with real but subtler geography; some variants fall on secondary colours.
256,"with [ejə] (3 syllables--""may-uh-naze"")",16,"with [ejə] (3 syllables--""may-uh-naze"")",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
256,"with [æ] as in ""man"" (2 syllables--""man-aze"")",16,"with [æ] as in ""man"" (2 syllables--""man-aze"")",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
256,I use both interchangeably,16,I use both interchangeably,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
257,"[i:] as in ""near""",17,"[i:] as in ""near""",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
257,"[ɪ] as in ""knit""",17,"[ɪ] as in ""knit""",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
257,I say something in between [ɪ] and [ɛ],17,I say something in between [ɪ] and [ɛ],medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
257,"[ɛ] as in ""net""",17,"[ɛ] as in ""net""",medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
258,mischievous (3 syllables),18,mischievous (3 syllables),medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
258,mischievious (4 syllables),18,mischievious (4 syllables),medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
258,I use both,18,I use both,medium,"verbatim HDS re-run, single-select; weak/near-uniform geography or answers on hard (secondary/black) colours."
