id,text,n_choices,multiselect
1,"What do you call the long cold sandwich that contains cold cuts, lettuce, and so on? Select all terms that you might actually use. (Don't include terms that aren't in your natural vocabulary but that you might use to accommodate someone who you think uses a different form.)",7,1
2,"What is your generic casual or informal term for a sweetened carbonated beverage? (As in: ""We have milk, beer, apple juice, and four kinds of _____: Pepsi, 7Up, root beer, and ginger ale."") If you use more than one in your informal speech, check all of them here.",7,1
7,"What is your general, informal term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",7,0
13,What do you call the kind of crustacean that looks like a tiny lobster and lives in lakes and streams?,7,0
20,What word(s) do you use in casual speech to address a group of two or more people?,7,0
21,What do you call the little gray (or black or brown) creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,7,0
30,What do you call the kind of rain that falls while the sun is shining?,4,0
31,"What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",7,0
67,How do you pronounce the vowel sound in the word <aunt> ('parent's sister')?,7,0
68,"What is your preferred general and casual term for a sale of your unwanted items (which may be held on your porch, in your yard, garden, or house, from the back of your car, etc.)?",7,0
69,What do you call the wheeled contraption in which you carry groceries at the grocery store or supermarket?,7,0
70,What do you call a traffic intersection in which several roads meet in a circle and you have to get off at a certain point?,6,0
71,"Do you pronounce r's when they aren't followed by a vowel, as in car, cart, carton, and so on?",4,0
72,"How do you pronounce <sawing> and <saw it>, as in ""I enjoying sawing wood"" and ""she saw it""?",4,0
73,"If you feel sort of blah (in other words, a bit depressed, tired, uninspired, etc.), could you say you feel:",4,0
74,"How do you pronounce <Shah of>, as in ""Abbas was a famous Shah of Iran""?",4,0
75,How do you pronounce <which> and <witch>?,3,0
76,"What do you call the meal you eat in the evening, normally somewhere between 5 and 10 PM?",7,0
77,"If you decide to go to the opening night of Tom Cruise's new film, you may have to wait:",3,0
78,What do you call an upholstered seat for more than one person?,7,0
79,What do you a call a store that is devoted primarily to selling alcoholic beverages?,7,0
80,What do you call a room equipped with toilets and lavatories for public use?,7,0
81,What do you call the auxiliary brake that's attached to a rear wheel or the transmission and keeps the car from moving accidentally?,4,0
82,What do you call an automobile transmission system in which gears are selected by the driver by means of a hand-operated gearshift and a foot-operated clutch?,5,0
83,"What do you call an artificial nipple, usually made of plastic, which an infant can suck or chew on?",6,0
84,What do you call food purchased at a restaurant to be eaten elsewhere?,5,0
85,What do you call this large aquatic bug that skims along the surface of water?,7,0
86,What do you call a narrow street or passageway between or behind buildings?,7,0
87,What do you call an unattended machine (normally outside a bank) that dispenses money when a personal coded card is used?,7,0
88,What do you call your fifth/smallest toe?,6,0
89,"What do you call this long green herb that is used as a garnish or in soups, salads and stir-fry dishes? (It belongs to the genus Allium and lacks a fully-developed bulb.)",7,0
240,Pop or soda?,4,0
241,aunt,6,0
242,been,4,0
243,"the first vowel in ""Bowie knife""",4,0
244,caramel,5,0
245,"the vowel in the second syllable of ""cauliflower""",3,0
246,"the last vowel in ""centaur""",5,0
247,coupon,3,0
248,Craig (the name),5,0
249,crayon,5,0
250,creek (a small body of running water),4,0
251,"the first vowel in ""Florida""",5,0
252,flourish,4,0
253,"the last vowel in ""handkerchief""",3,0
254,lawyer,3,0
255,How do you pronounce Mary/merry/marry?,4,0
256,mayonnaise,4,0
257,"the first vowel in ""miracle""",5,0
258,mischievous vs. mischievious,4,0
259,"the final vowel in ""Monday,"" ""Friday,"" etc.",4,0
260,"the second vowel in ""pajamas""",3,0
261,pecan,7,0
262,poem,2,0
263,really,4,0
264,realtor (a real estate agent),4,0
265,"roof, room, broom, root",3,0
266,"route (as in, ""the route from one place to another"")",6,0
267,"the first vowel in ""syrup""",4,0
268,"Do you pronounce ""cot"" and ""caught"" the same?",2,0
269,almond,5,0
270,"the ""s"" in ""anniversary""",2,0
271,asterisk,4,0
272,candidate,4,0
273,"the ""s"" in ""chromosome""",3,0
274,et cetera,5,0
275,"the final consonant in ""garage""",4,0
276,"the ""c"" in ""grocery""",3,0
277,"huge, humor, humongous, human...",3,0
278,"the ""s"" in ""nursery""",3,0
279,"the ""s"" in the last name of Elvis Presley",2,0
280,quarter,3,0
281,"Do you use ""spigot"" or ""spicket"" to refer to a faucet or tap that water comes out of?",6,0
282,strength,3,0
283,"the final consonant in ""Texas""",3,0
284,cream cheese,4,0
285,insurance,3,0
286,New Haven (the city in Connecticut where Yale University is located),4,0
287,Thanksgiving,3,0
288,umbrella,2,0
289,I ____ her lifeless body from the pool,3,0
290,What word(s) do you use to address a group of two or more people?,5,0
291,"Would you say ""Are you coming with?"" as a full sentence, to mean ""Are you coming with us?""",3,0
292,"Would you say ""where are you at?"" to mean ""where are you?""",3,0
293,"Modals are words like ""can,"" ""could,"" ""might,"" ""ought to,"" and so on. Can you use more than one modal at a time? (e.g., ""I might could do that"" to mean ""I might be able to do that""; or ""I used to could do that"" to mean ""I used to be able to do that"")",2,0
294,"He used to nap on the couch, but he sprawls out in that new lounge chair anymore",3,0
295,I do exclusively figurative paintings anymore,3,0
296,Pantyhose are so expensive anymore that I just try to get a good suntan and forget about it.,3,0
297,Forget the nice clothes anymore (referring to babies eating messily after a certain age),3,0
298,"Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",5,0
