fips,state,county,pop2003,pop2024
01001,Alabama,Autauga County,46800,61464
01003,Alabama,Baldwin County,151509,261608
01005,Alabama,Barbour County,28594,24358
01007,Alabama,Bibb County,21399,22258
01009,Alabama,Blount County,53457,60163
01011,Alabama,Bullock County,11316,9901
01013,Alabama,Butler County,20833,18256
01015,Alabama,Calhoun County,112705,116427
01017,Alabama,Chambers County,35680,33813
01019,Alabama,Cherokee County,24591,26138
01021,Alabama,Chilton County,41079,47262
01023,Alabama,Choctaw County,15199,12052
01025,Alabama,Clarke County,27090,22142
01027,Alabama,Clay County,14203,14239
01029,Alabama,Cleburne County,14438,15905
01031,Alabama,Coffee County,44315,56358
01033,Alabama,Colbert County,54279,58785
01035,Alabama,Conecuh County,13585,11109
01037,Alabama,Coosa County,11732,10291
01039,Alabama,Covington County,36860,37748
01041,Alabama,Crenshaw County,13652,13114
01043,Alabama,Cullman County,77657,92604
01045,Alabama,Dale County,49215,50067
01047,Alabama,Dallas County,45170,35545
01049,Alabama,DeKalb County,66530,73122
01051,Alabama,Elmore County,69935,91042
01053,Alabama,Escambia County,37796,36630
01055,Alabama,Etowah County,103025,103207
01057,Alabama,Fayette County,18178,15863
01059,Alabama,Franklin County,30874,31874
01061,Alabama,Geneva County,25702,27259
01063,Alabama,Greene County,9805,7127
01065,Alabama,Hale County,17116,15116
01067,Alabama,Henry County,16563,18141
01069,Alabama,Houston County,91321,109366
01071,Alabama,Jackson County,53711,53780
01073,Alabama,Jefferson County,657513,664744
01075,Alabama,Lamar County,15258,13543
01077,Alabama,Lauderdale County,88103,97502
01079,Alabama,Lawrence County,34488,33567
01081,Alabama,Lee County,120071,187847
01083,Alabama,Limestone County,68578,118942
01085,Alabama,Lowndes County,12996,9485
01087,Alabama,Macon County,23110,18159
01089,Alabama,Madison County,291342,423355
01091,Alabama,Marengo County,22025,18512
01093,Alabama,Marion County,30554,29323
01095,Alabama,Marshall County,84348,102156
01097,Alabama,Mobile County,398082,412339
01099,Alabama,Monroe County,23853,19057
01101,Alabama,Montgomery County,222680,225894
01103,Alabama,Morgan County,112898,126084
01105,Alabama,Perry County,11301,7719
01107,Alabama,Pickens County,20527,18508
01109,Alabama,Pike County,30050,33124
01111,Alabama,Randolph County,22359,23067
01113,Alabama,Russell County,49065,58837
01115,Alabama,St. Clair County,68629,96927
01117,Alabama,Shelby County,159704,235969
01119,Alabama,Sumter County,14329,11607
01121,Alabama,Talladega County,80900,81375
01123,Alabama,Tallapoosa County,40898,40699
01125,Alabama,Tuscaloosa County,169725,241212
01127,Alabama,Walker County,69105,65260
01129,Alabama,Washington County,17910,15018
01131,Alabama,Wilcox County,12600,9865
01133,Alabama,Winston County,24576,23869
02013,Alaska,Aleutians East Borough,2732,3632
02016,Alaska,Aleutians West Census Area,5709,5424
02020,Alaska,Anchorage Municipality,270568,289600
02050,Alaska,Bethel Census Area,16517,18237
02060,Alaska,Bristol Bay Borough,1140,884
02063,Alaska,Chugach Census Area,,6604
02066,Alaska,Copper River Census Area,,2631
02068,Alaska,Denali Borough,1825,1621
02070,Alaska,Dillingham Census Area,4828,4642
02090,Alaska,Fairbanks North Star Borough,86885,94951
02100,Alaska,Haines Borough,2337,2104
02105,Alaska,Hoonah-Angoon Census Area,2378,2312
02110,Alaska,Juneau City and Borough,30993,31572
02122,Alaska,Kenai Peninsula Borough,50963,61259
02130,Alaska,Ketchikan Gateway Borough,13335,13677
02150,Alaska,Kodiak Island Borough,13239,12654
02158,Alaska,Kusilvak Census Area,,7946
02164,Alaska,Lake and Peninsula Borough,1626,1315
02170,Alaska,Matanuska-Susitna Borough,67162,117613
02180,Alaska,Nome Census Area,9210,9836
02185,Alaska,North Slope Borough,7968,10663
02188,Alaska,Northwest Arctic Borough,7310,7134
02195,Alaska,Petersburg Census Area,4022,3436
02198,Alaska,Prince of Wales-Hyder Census Area,5650,5746
02220,Alaska,Sitka City and Borough,8881,8355
02230,Alaska,Skagway Municipality,895,1119
02240,Alaska,Southeast Fairbanks Census Area,5772,7313
02261,Alaska,Valdez-Cordova Census Area,9996,
02270,Alaska,Wade Hampton Census Area,7201,
02275,Alaska,Wrangell City and Borough,2347,2064
02282,Alaska,Yakutat City and Borough,673,690
02290,Alaska,Yukon-Koyukuk Census Area,6252,5099
04001,Arizona,Apache County,68072,64800
04003,Arizona,Cochise County,120638,125773
04005,Arizona,Coconino County,122882,145161
04007,Arizona,Gila County,51337,54073
04009,Arizona,Graham County,32985,40242
04011,Arizona,Greenlee County,7567,9410
04012,Arizona,La Paz County,19722,16992
04013,Arizona,Maricopa County,3328468,4673096
04015,Arizona,Mohave County,172633,226479
04017,Arizona,Navajo County,101529,109516
04019,Arizona,Pima County,885893,1080149
04021,Arizona,Pinal County,207920,513862
04023,Arizona,Santa Cruz County,40625,50508
04025,Arizona,Yavapai County,182090,252013
04027,Arizona,Yuma County,168003,220310
05001,Arkansas,Arkansas County,19981,16050
05003,Arkansas,Ashley County,23469,17984
05005,Arkansas,Baxter County,38772,43007
05007,Arkansas,Benton County,171742,321566
05009,Arkansas,Boone County,34554,38636
05011,Arkansas,Bradley County,12263,9935
05013,Arkansas,Calhoun County,5646,4690
05015,Arkansas,Carroll County,26033,28968
05017,Arkansas,Chicot County,13173,9272
05019,Arkansas,Clark County,23032,20920
05021,Arkansas,Clay County,16951,14112
05023,Arkansas,Cleburne County,24711,25646
05025,Arkansas,Cleveland County,8694,7367
05027,Arkansas,Columbia County,25106,22024
05029,Arkansas,Conway County,20461,21422
05031,Arkansas,Craighead County,85000,115852
05033,Arkansas,Crawford County,55836,62258
05035,Arkansas,Crittenden County,50252,46633
05037,Arkansas,Cross County,18896,16194
05039,Arkansas,Dallas County,8740,6076
05041,Arkansas,Desha County,14405,10321
05043,Arkansas,Drew County,18537,16935
05045,Arkansas,Faulkner County,93618,131611
05047,Arkansas,Franklin County,17913,17586
05049,Arkansas,Fulton County,11831,12546
05051,Arkansas,Garland County,90483,99902
05053,Arkansas,Grant County,16731,18546
05055,Arkansas,Greene County,38604,46928
05057,Arkansas,Hempstead County,23090,19105
05059,Arkansas,Hot Spring County,30821,33313
05061,Arkansas,Howard County,14098,12387
05063,Arkansas,Independence County,34652,38345
05065,Arkansas,Izard County,13467,14291
05067,Arkansas,Jackson County,17914,16673
05069,Arkansas,Jefferson County,82193,63672
05071,Arkansas,Johnson County,23587,26172
05073,Arkansas,Lafayette County,8244,6015
05075,Arkansas,Lawrence County,17605,16305
05077,Arkansas,Lee County,11732,8104
05079,Arkansas,Lincoln County,14578,12868
05081,Arkansas,Little River County,13361,11626
05083,Arkansas,Logan County,22707,21457
05085,Arkansas,Lonoke County,56452,76389
05087,Arkansas,Madison County,14186,17865
05089,Arkansas,Marion County,16133,17593
05091,Arkansas,Miller County,41382,41958
05093,Arkansas,Mississippi County,48554,38095
05095,Arkansas,Monroe County,9579,6415
05097,Arkansas,Montgomery County,9239,8510
05099,Arkansas,Nevada County,9590,8004
05101,Arkansas,Newton County,8613,7026
05103,Arkansas,Ouachita County,27488,21684
05105,Arkansas,Perry County,10346,10251
05107,Arkansas,Phillips County,24520,14661
05109,Arkansas,Pike County,11243,10027
05111,Arkansas,Poinsett County,25177,22300
05113,Arkansas,Polk County,20199,19434
05115,Arkansas,Pope County,55622,64829
05117,Arkansas,Prairie County,9303,7935
05119,Arkansas,Pulaski County,365258,401209
05121,Arkansas,Randolph County,18005,19040
05123,Arkansas,St. Francis County,29170,21822
05125,Arkansas,Saline County,88627,131252
05127,Arkansas,Scott County,10936,9837
05129,Arkansas,Searcy County,7996,7836
05131,Arkansas,Sebastian County,117725,130035
05133,Arkansas,Sevier County,15824,15735
05135,Arkansas,Sharp County,17381,18130
05137,Arkansas,Stone County,11704,12785
05139,Arkansas,Union County,44281,37008
