geoid,name,state,lat,lon,pop
3651000,New York,NY,40.66271,-73.93868,8478072
0644000,Los Angeles,CA,34.01939,-118.41083,3878704
1714000,Chicago,IL,41.83705,-87.68494,2721308
4835000,Houston,TX,29.78574,-95.38881,2390125
0455000,Phoenix,AZ,33.57215,-112.09013,1673164
4260000,Philadelphia,PA,40.00938,-75.13335,1573916
4865000,San Antonio,TX,29.46281,-98.52464,1526656
0666000,San Diego,CA,32.81498,-117.13556,1404452
4819000,Dallas,TX,32.79333,-96.76651,1326087
1235000,Jacksonville,FL,30.33686,-81.6616,1009833
4827000,Fort Worth,TX,32.78195,-97.34857,1008106
0668000,San Jose,CA,37.29601,-121.81455,997368
4805000,Austin,TX,30.29862,-97.75413,993588
3712000,Charlotte,NC,35.20905,-80.83099,943476
3918000,Columbus,OH,39.98394,-82.98488,933263
1836003,Indianapolis city,IN,39.77666,-86.14593,891484
0667000,San Francisco,CA,37.72724,-123.03223,827526
5363000,Seattle,WA,47.61933,-122.35154,780995
0820000,Denver,CO,39.76185,-104.88111,729019
4055000,Oklahoma City,OK,35.46708,-97.51366,712919
4752006,Nashville-Davidson,TN,36.1718,-86.785,704963
1150000,Washington,DC,38.90425,-77.01652,702250
4824000,El Paso,TX,31.84778,-106.43111,681723
3240000,Las Vegas,NV,36.2335,-115.26404,678922
2507000,Boston,MA,42.33855,-71.01825,673458
2622000,Detroit,MI,42.38304,-83.10224,645705
2148006,Louisville/Jefferson County,KY,38.16538,-85.64738,640796
4159000,Portland,OR,45.53695,-122.64997,635749
4748000,Memphis,TN,35.10903,-89.96746,610919
2404000,Baltimore,MD,39.30003,-76.61048,568271
5553000,Milwaukee,WI,43.06335,-87.9667,563531
3502000,Albuquerque,NM,35.10478,-106.64681,560326
0477000,Tucson,AZ,32.15304,-110.87077,554013
0627000,Fresno,CA,36.78268,-119.79336,550105
0664000,Sacramento,CA,38.56769,-121.46816,535798
1304000,Atlanta,GA,33.76291,-84.42267,520070
0446000,Mesa,AZ,33.40063,-111.71649,517151
2938000,Kansas City,MO,39.12236,-94.55512,516032
3755000,Raleigh,NC,35.83187,-78.64104,499825
0816000,Colorado Springs,CO,38.86726,-104.76075,493554
3137000,Omaha,NE,41.2627,-96.05348,489265
1245000,Miami,FL,25.77516,-80.20861,487014
5182000,Virginia Beach,VA,36.77952,-76.02914,454808
0643000,Long Beach,CA,33.78079,-118.16818,450901
0653000,Oakland,CA,37.76985,-122.22569,443554
2743000,Minneapolis,MN,44.96332,-93.26832,428579
0603526,Bakersfield,CA,35.35317,-119.03792,417468
4075000,Tulsa,OK,36.12795,-95.90232,415154
1271000,Tampa,FL,27.96626,-82.47762,414547
4804000,Arlington,TX,32.70071,-97.12469,403672
