question,choice,choice_index,color,total_coverage
1,a,1,red,4211.44287109375
1,b,2,blue,17279.62890625
1,c,3,green,2163.38037109375
1,d,4,purple,2676.6591796875
1,e,5,orange,797.5051879882812
1,f,6,cyan,4270.63916015625
1,g,7,magenta,1798.2550048828125
1,h,8,brown,2274.7392578125
2,a,1,red,15543.8828125
2,b,2,blue,3077.086181640625
2,c,3,green,11654.83203125
2,d,4,purple,3298.15380859375
3,a,1,red,16592.349609375
3,b,2,blue,9575.1728515625
3,c,3,green,3896.541259765625
3,d,4,purple,3037.705078125
3,e,5,orange,1237.1187744140625
4,a,1,red,13495.05078125
4,b,2,blue,11037.97265625
4,c,3,green,8455.8193359375
4,d,4,purple,3577.142578125
4,e,5,orange,2408.675537109375
5,a,1,red,8840.365234375
5,b,2,blue,17150.326171875
5,c,3,green,4288.1572265625
6,a,1,red,13669.228515625
6,b,2,blue,7971.13330078125
6,c,3,green,7254.1103515625
6,d,4,purple,9599.009765625
6,e,5,orange,2778.510498046875
7,a,1,red,15217.490234375
7,b,2,blue,13527.6591796875
7,c,3,green,1953.2862548828125
8,a,1,red,10988.259765625
8,b,2,blue,12504.369140625
8,c,3,green,8707.6513671875
8,d,4,purple,7702.669921875
8,e,5,orange,1116.1973876953125
9,a,1,red,6547.556640625
9,b,2,blue,13617.697265625
9,c,3,green,12917.0625
9,d,4,purple,1748.47998046875
9,e,5,orange,1447.7310791015625
10,a,1,red,17583.71484375
10,b,2,blue,3726.807861328125
10,c,3,green,4872.12548828125
10,d,4,purple,337.0636901855469
10,e,5,orange,2306.7294921875
10,f,6,cyan,532.8784790039062
11,a,1,red,3822.533203125
11,b,2,blue,4420.89453125
11,c,3,green,3514.98046875
11,d,4,purple,17857.5703125
11,e,5,orange,3108.330810546875
12,a,1,red,16595.3984375
12,b,2,blue,9831.96875
12,c,3,green,4697.517578125
12,d,4,purple,3730.783447265625
13,a,1,red,9169.6630859375
13,b,2,blue,17349.75390625
13,c,3,green,2043.595947265625
14,a,1,red,14859.513671875
14,b,2,blue,11098.96875
14,c,3,green,4043.470703125
14,d,4,purple,843.2816162109375
15,a,1,red,16317.7578125
15,b,2,blue,4425.6044921875
15,c,3,green,5506.470703125
15,d,4,purple,1497.637939453125
15,e,5,orange,8015.38134765625
16,a,1,red,13904.302734375
16,b,2,blue,13021.388671875
16,c,3,green,5907.39208984375
