question,text,respondents,n_choices
1,aunt,11713,8
2,been,11609,4
3,"the first vowel in ""Bowie knife""",11636,5
4,caramel,11609,5
5,"the vowel in the second syllable of ""cauliflower""",11575,3
6,"the last vowel in ""centaur""",11385,5
7,coupon,11571,3
8,Craig (the name),11519,5
9,crayon,11514,5
10,creek (a small body of running water),11517,6
11,"the first vowel in ""Florida""",11451,5
12,flourish,11429,4
13,"the last vowel in ""handkerchief""",11400,3
14,lawyer,11421,4
15,How do you pronounce Mary/merry/marry?,11422,5
16,mayonnaise,11372,4
17,"the first vowel in ""miracle""",11284,5
18,mischievous vs. mischievious,11296,5
19,"the final vowel in ""Monday,"" ""Friday,"" etc.",11316,4
20,"the second vowel in ""pajamas""",11277,3
21,pecan,11213,8
22,poem,11235,2
23,really,11175,4
24,realtor (a real estate agent),11148,5
25,"roof, room, broom, root",11138,3
26,"route (as in, ""the route from one place to another"")",11137,6
27,"the first vowel in ""syrup""",11107,4
28,"Do you pronounce ""cot"" and ""caught"" the same?",11050,2
29,almond,11086,5
30,"the ""s"" in ""anniversary""",10981,2
31,asterisk,11005,4
32,candidate,11016,6
33,"the ""s"" in ""chromosome""",11002,4
34,et cetera,10949,5
35,"the final consonant in ""garage""",10846,4
36,"the ""c"" in ""grocery""",10904,3
37,"huge, humor, humongous, human...",10899,4
38,"the ""s"" in ""nursery""",10855,3
39,"the ""s"" in the last name of Elvis Presley",10869,2
40,quarter,10890,4
41,"Do you use ""spigot"" or ""spicket"" to refer to a faucet or tap that water comes out of?",10860,7
42,strength,10789,3
43,"the final consonant in ""Texas""",10843,4
44,cream cheese,10797,4
45,insurance,10835,4
46,New Haven (the city in Connecticut where Yale University is located),10784,4
47,Thanksgiving,10804,4
48,umbrella,10796,2
49,I ____ her lifeless body from the pool,10806,4
50,What word(s) do you use to address a group of two or more people?,10764,9
51,"Would you say ""Are you coming with?"" as a full sentence, to mean ""Are you coming with us?""",10743,3
52,"Would you say ""where are you at?"" to mean ""where are you?""",10768,3
53,"Modals are words like ""can,"" ""could,"" ""might,"" ""ought to,"" and so on. Can you use more than one modal at a time? (e.g., ""I might could do that"" to mean ""I might be able to do that""; or ""I used to could do that"" to mean ""I used to be able to do that"")",10739,3
54,"He used to nap on the couch, but he sprawls out in that new lounge chair anymore",10756,3
55,I do exclusively figurative paintings anymore,10739,3
56,Pantyhose are so expensive anymore that I just try to get a good suntan and forget about it.,10753,3
57,Forget the nice clothes anymore (referring to babies eating messily after a certain age),10743,3
58,"Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",10736,12
59,"What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",10689,12
60,What do you call the area of grass between the sidewalk and the road?,10589,9
61,What do you call the area of grass that occurs in the middle of some streets?,10544,7
62,What do you call the long narrow place in the middle of a divided highway?,10711,10
63,What do you call the drink made with milk and ice cream?,10747,6
64,"What do you call the long sandwich that contains cold cuts, lettuce, and so on?",10708,11
65,What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,10733,6
66,What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,10684,8
67,What do you call the kind of spider (or spider-like creature) that has an oval-shaped body and extremely long legs?,10704,12
68,What nicknames do/did you use for your maternal grandmother?,10464,7
69,What about your paternal grandmother (is there a distinction?),10211,6
70,What do/did you call your maternal grandfather?,10280,7
71,paternal grandfather?,9818,5
72,What do you call the big clumps of dust that gather under furniture and in corners?,10616,6
73,"What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",10722,11
74,What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,10673,12
75,What do you call the wheeled contraption in which you carry groceries at the supermarket?,10705,8
76,What term do you use to refer to something that is across both streets from you at an intersection (or diagonally across from you in general)?,10706,9
77,What do you call the activity of driving around in circles in a car?,10011,4
78,What do you call paper that has already been used for something or is otherwise imperfect?,10692,4
79,What is your *general* term for a big road that you drive relatively fast on?,10684,10
80,What do you call it when rain falls while the sun is shining?,10691,9
81,"When you are cold, and little points of skin begin to come on your arms and legs, you have-",10699,8
82,"What do you call the gooey or dry matter that collects in the corners of your eyes, especially while you are sleeping?",10627,12
83,What do you call an easy course?,9500,7
84,What do you call a traffic situation in which several roads meet in a circle and you have to get off at a certain point?,10673,7
85,What is the thing that women use to tie their hair?,10241,6
86,Do you use the word cruller?,10691,3
87,"Do you use the term ""bear claw"" for a kind of pastry?",10712,3
88,What do you call someone who is the opposite of pigeon-toed (i.e. when they walk their feet point outwards)?,10654,7
89,"Can you call coleslaw ""slaw""?",10707,5
90,What do you call the box you bury a dead person in?,10665,4
91,"Do you say ""vinegar and oil"" or ""oil and vinegar"" for the type of salad dressing?",10713,5
92,What do you call it when a driver changes over one or more lanes way too quickly?,8787,3
93,"When you stand outside with a long line of people waiting to get in somewhere, are you standing ""in line"" or ""on line"" (as in, ""I stood ___ in the cold for two hours before they opened the doors"")?",10689,5
94,"Do you say ""frosting"" or ""icing"" for the sweet spread one puts on a cake?",10702,6
95,"What is ""the City""?",9965,6
96,What is the distinction between dinner and supper?,10661,7
97,Which of these terms do you prefer?,10676,6
98,Which of these terms do you prefer?,10671,5
99,Which of these terms do you prefer for the small road parallel to the highway?,10639,8
100,Do you cut or mow the lawn or grass?,10553,5
101,Do you pass in homework or hand in homework?,10653,5
102,What do you call the insect that looks like a large thin spider and skitters along the top of water?,10615,11
103,What do you call the thing from which you might drink water in a school?,10656,5
104,What do you call a public railway system (normally underground)?,10585,6
105,What is your generic term for a sweetened carbonated beverage?,10669,10
106,What do you call the act of covering a house or area in front of a house with toilet paper?,10658,8
107,What do you call a traffic jam caused by drivers slowing down to look at an accident or other diversion on the side of the road?,10646,10
108,What vowel do you use in bag?,10632,4
109,What do you call the paper container in which you might bring home items you bought at the store?,10663,4
110,What do you call the night before Halloween?,10640,9
111,What do you call the end of a loaf of bread?,10665,8
