state,n,n_p25,n_p75,determined,tested
CA,1943,1934,1947,15,96
NY,1638,1636,1643,19,95
PA,1485,1480,1491,26,94
TX,1401,1400,1404,25,96
MO,1355,1338,1364,18,96
IL,1282,1278,1289,21,96
WA,1215,1196,1223,16,95
KS,991,987,993,19,96
OH,985,982,991,13,93
MI,859,855,861,20,95
IN,832,825,836,20,94
MA,829,824,839,28,92
WI,825,799,834,27,95
NJ,755,739,757,16,92
FL,611,609,616,27,96
MN,609,602,617,25,93
CT,554,553,556,25,93
VA,509,504,510,26,94
IA,391,389,393,26,90
MD,381,378,384,29,91
GA,353,351,355,27,92
OR,342,337,343,23,90
CO,341,338,346,29,95
TN,323,319,326,32,89
LA,315,309,316,31,91
NC,310,306,311,28,90
KY,296,292,298,32,90
MT,276,273,278,30,88
OK,232,231,234,28,90
AL,228,226,229,40,92
SD,206,204,207,44,88
AZ,181,179,181,37,88
NE,169,165,172,33,83
UT,161,159,165,36,84
SC,137,135,145,37,84
AR,133,132,135,41,87
ID,130,129,132,38,85
WV,120,119,120,42,81
MS,114,114,116,43,80
ND,114,113,114,47,81
NM,112,111,114,41,81
NH,111,111,113,37,78
ME,100,98,102,42,83
RI,98,97,100,47,84
DC,81,80,82,46,76
VT,76,75,76,49,74
WY,69,68,69,41,65
NV,65,64,65,42,68
HI,56,55,56,45,71
AK,46,45,46,41,71
DE,44,43,48,42,61
