state,question,n
AK,1,48
AK,6,47
AK,9,47
AK,10,47
AK,12,48
AK,17,47
AK,21,47
AK,26,47
AK,27,46
AK,31,47
AK,32,45
AK,34,46
AK,41,47
AK,44,46
AK,47,45
AK,50,45
AK,58,46
AK,59,46
AK,61,46
AK,62,46
AK,68,44
AK,69,45
AK,70,46
AK,74,46
AK,77,44
AK,79,46
AK,82,45
AK,84,46
AK,85,43
AK,88,45
AK,89,46
AK,91,15
AK,95,44
AK,96,46
AK,97,46
AK,99,44
AK,102,45
AK,104,45
AK,105,46
AK,107,46
AK,121,46
AL,1,241
AL,11,239
AL,18,237
AL,21,235
AL,26,235
AL,29,234
AL,32,234
AL,34,232
AL,41,232
AL,50,228
AL,59,230
AL,61,225
AL,66,229
AL,68,219
AL,69,216
AL,70,220
AL,72,225
AL,73,228
AL,76,229
AL,79,222
AL,80,229
AL,81,226
AL,82,228
AL,83,211
AL,84,228
AL,85,219
AL,88,228
AL,89,229
AL,91,229
AL,96,228
AL,97,227
AL,99,228
AL,101,227
AL,102,227
AL,105,228
AL,106,227
AL,107,228
AL,117,228
AL,118,224
AL,121,227
AR,1,142
AR,4,141
AR,6,139
AR,17,139
AR,19,142
AR,21,142
AR,24,141
AR,26,140
AR,29,138
AR,32,138
AR,34,68
AR,35,133
AR,41,135
AR,50,133
AR,59,131
AR,61,133
AR,67,131
AR,68,126
AR,70,123
AR,74,133
AR,75,132
AR,76,132
AR,79,132
AR,80,133
AR,82,133
AR,83,120
AR,84,132
AR,88,132
AR,89,133
AR,94,133
AR,96,132
AR,97,66
AR,99,133
AR,101,133
AR,102,133
AR,106,132
AR,107,133
AR,110,132
AR,115,133
AR,117,133
AR,121,133
AZ,1,195
AZ,17,189
AZ,18,189
AZ,21,188
AZ,24,185
AZ,26,185
AZ,29,184
AZ,31,184
AZ,32,183
AZ,41,181
AZ,50,181
AZ,59,179
AZ,60,179
AZ,65,181
AZ,66,180
AZ,68,175
AZ,69,172
AZ,70,176
AZ,73,180
AZ,74,181
AZ,76,179
AZ,79,179
AZ,80,179
AZ,82,179
AZ,84,180
AZ,88,180
AZ,89,181
AZ,91,181
AZ,95,166
AZ,96,181
AZ,98,181
AZ,102,181
AZ,105,179
AZ,107,181
AZ,117,181
AZ,118,178
AZ,121,179
CA,1,2101
CA,21,2031
CA,50,1956
CA,59,1944
CA,60,1916
CA,61,1923
CA,62,1943
CA,73,1946
CA,74,1938
CA,79,1947
CA,82,1930
CA,107,1935
CA,111,1939
CA,117,1947
CA,121,1934
CO,4,377
CO,9,372
CO,10,373
CO,21,369
CO,49,174
CO,50,354
CO,59,350
CO,60,343
CO,61,341
CO,68,337
CO,69,330
CO,70,334
CO,73,345
CO,76,347
CO,80,346
CO,82,341
CO,83,297
CO,84,338
CO,85,333
CO,88,343
CO,96,344
CO,97,340
CO,99,342
CO,102,340
CO,107,339
CO,111,341
CO,117,339
CO,118,331
CO,121,339
CT,1,598
CT,8,590
CT,11,588
CT,21,575
CT,41,562
CT,58,560
CT,59,556
CT,66,556
CT,68,545
CT,69,524
CT,70,517
CT,74,553
CT,75,556
CT,76,556
CT,79,553
CT,82,549
CT,88,555
CT,96,554
CT,97,556
CT,99,553
CT,102,553
CT,106,553
CT,107,554
CT,110,542
CT,121,554
DC,3,87
DC,12,87
DC,18,43
DC,21,85
DC,26,85
DC,29,85
DC,33,83
DC,34,82
DC,41,82
DC,44,81
DC,46,82
DC,49,82
DC,50,81
DC,58,82
DC,59,81
DC,60,80
DC,61,79
DC,62,82
DC,66,81
DC,68,78
DC,69,74
DC,71,68
DC,72,79
DC,73,82
DC,74,82
DC,78,41
DC,79,82
DC,80,81
DC,82,81
DC,83,74
DC,84,82
DC,88,81
DC,89,27
DC,94,82
DC,96,81
DC,99,81
DC,100,78
DC,102,81
DC,105,82
DC,106,81
DC,107,82
DC,110,80
DC,111,81
DC,117,81
DC,118,78
DC,121,81
DE,2,49
DE,3,49
DE,6,48
DE,9,49
DE,12,49
DE,15,49
DE,16,48
DE,17,48
DE,18,48
DE,21,48
DE,23,48
DE,24,48
DE,26,48
DE,29,46
DE,31,47
DE,32,47
DE,34,23
DE,44,21
DE,50,43
DE,61,42
DE,66,44
DE,68,41
DE,69,39
DE,70,41
DE,72,44
DE,74,44
DE,76,44
DE,82,43
DE,84,44
DE,85,44
DE,88,43
DE,90,44
DE,96,44
DE,99,44
DE,102,43
DE,106,44
DE,107,44
DE,111,44
DE,117,44
DE,118,43
DE,120,44
DE,121,44
FL,1,680
FL,21,651
FL,29,642
FL,41,624
FL,50,617
FL,58,618
FL,59,615
FL,60,611
FL,61,601
FL,68,611
FL,70,588
FL,73,613
FL,74,616
FL,76,617
FL,79,609
FL,82,608
FL,83,535
FL,84,611
FL,88,614
FL,96,614
FL,99,610
FL,102,606
FL,105,612
FL,107,610
FL,111,611
FL,117,610
FL,118,597
GA,9,376
GA,21,371
GA,41,359
GA,50,357
GA,59,355
GA,60,353
GA,61,351
GA,62,354
GA,64,356
GA,68,349
GA,73,353
GA,76,354
GA,79,354
GA,80,355
GA,82,354
GA,83,325
GA,84,351
GA,88,355
GA,97,176
GA,102,353
GA,104,347
GA,105,353
GA,106,352
GA,107,346
GA,117,354
GA,118,347
GA,121,352
HI,1,56
HI,2,28
HI,3,56
HI,4,56
HI,12,55
HI,15,56
HI,16,56
HI,17,56
HI,21,56
HI,23,56
HI,26,56
HI,29,56
HI,34,55
HI,35,56
HI,41,56
HI,44,56
HI,50,57
HI,58,57
HI,59,57
HI,62,56
HI,65,57
HI,66,57
HI,68,56
HI,69,55
HI,70,55
HI,73,57
HI,74,56
HI,76,56
HI,80,11
HI,82,56
HI,84,55
HI,85,55
HI,88,55
HI,95,52
HI,96,56
HI,97,56
HI,99,54
HI,100,54
HI,101,56
HI,102,56
HI,106,56
HI,107,56
HI,111,56
HI,117,55
HI,121,54
IA,21,409
IA,41,400
IA,58,395
IA,59,392
IA,60,393
IA,61,389
IA,66,393
IA,70,387
IA,71,375
IA,73,393
IA,74,396
IA,79,389
IA,82,391
IA,83,312
IA,84,393
IA,88,393
IA,96,394
IA,97,392
IA,99,392
IA,100,388
IA,102,391
IA,107,391
IA,111,390
IA,115,391
IA,118,383
IA,121,388
ID,6,135
ID,11,68
ID,12,134
ID,15,136
ID,17,136
ID,18,135
ID,21,131
ID,24,132
ID,26,133
ID,32,134
ID,41,131
ID,59,127
ID,60,128
ID,64,130
ID,68,127
ID,69,128
ID,70,128
ID,73,131
ID,74,130
ID,75,132
ID,77,63
ID,78,131
ID,79,131
ID,82,132
ID,83,114
ID,84,130
ID,85,126
ID,96,130
ID,98,131
ID,99,130
ID,102,129
ID,104,132
ID,105,132
ID,106,129
ID,107,129
ID,111,130
ID,117,130
ID,121,131
IL,4,1367
IL,21,1325
IL,26,1314
IL,32,1301
IL,41,1296
IL,50,1289
IL,59,1279
IL,60,1249
IL,61,1257
IL,66,1278
IL,70,1238
IL,74,1282
IL,79,1286
IL,82,1278
IL,84,1280
IL,88,1277
IL,97,1282
IL,99,1281
IL,102,1284
IL,107,1277
IL,111,1283
IN,21,867
IN,59,839
IN,60,827
IN,61,819
