state,question,choice,answer,pct
AK,1,a,"[ɑ] as in ""ah""",2.08
AK,1,b,"[æ] as in ""ant""",77.08
AK,1,c,"[ɔ] as in ""caught""",4.17
AK,1,d,"I have the same vowel in ""ah"", ""caught"", and ""aunt""",8.33
AK,1,f,"I use [ɑ/ɔ] when referring to the general concept of an aunt, but [æ] when referring to a specific person by name.",6.25
AK,1,g,"I use [æ] when referring to the general concept of an aunt, but [ɑ/ɔ] when referring to a specific person by name.",2.08
AK,2,a,"[ɪ] as in ""sit""",47.92
AK,2,b,"[i:] as in ""see""",4.17
AK,2,c,"[ɛ] as in ""set""",45.83
AK,2,d,other,2.08
AK,3,a,"[o:] as in ""Bo""",72.92
AK,3,b,"[u:] as in ""boo""",14.58
AK,3,c,"I have seen this word in print, but have no idea how to pronounce it",6.25
AK,3,d,I have never seen or heard this word,4.17
AK,3,e,other,2.08
AK,4,a,"with 2 syllables (""car-ml"")",64.58
AK,4,b,"with 3 syllables (""carra-mel"")",16.67
AK,4,c,I use both interchangeably,14.58
AK,4,d,"I have both forms, but the two have different meanings (please state how in the comments box)",4.17
AK,5,a,"[i:] as in ""see""",14.89
AK,5,b,"[ɪ] as in ""sit""",74.47
AK,5,c,other,10.64
AK,6,a,"[ɑ] as in ""car"" (""sen-tar"")",55.32
AK,6,b,"[ɔ] as in ""caught""",6.38
AK,6,c,"I use the same vowel in ""car"", ""caught"", and ""centaur""",23.4
AK,6,d,"rhymes with ""sore"" and ""more"" (""sen-tore"")",12.77
AK,6,e,other,2.13
AK,7,a,"with [u:] as in ""coop"" (""coopon"")",62.5
AK,7,b,"with [ju:] as in ""cute"" (""cyoopon"")",37.5
AK,8,a,"[ɛ] as in ""set""",29.17
AK,8,b,"[e:] as in ""say""",43.75
AK,8,c,"I say something in between the vowels in ""set"" and ""say"", but closer to the one in ""say""",12.5
AK,8,d,"I say something in between the vowels in ""set"" and ""say"", but closer to the one in ""set""",14.58
AK,9,a,"[æ] as in ""man"" (1 syllable, ""cran"")",12.77
AK,9,b,"[ejɑ] (2 syllables, ""cray-ahn"")",36.17
AK,9,c,"[ejɔ] (2 syllables, ""cray-awn"", where the second syllable rhymes with ""dawn"")",42.55
AK,9,d,"[aw] (I pronounce this the same as ""crown"")",2.13
AK,9,e,other,6.38
AK,10,a,"[i:] as in ""see""",76.6
AK,10,b,"[ɪ] as in ""sit""",8.51
AK,10,c,I use both interchangeably,4.26
AK,10,e,"I use both, but they mean two different things (please state how they differ in the comments box)",8.51
AK,10,f,other,2.13
AK,11,a,"[o:] as in ""flow"" (""flow-ri-da"")",8.51
AK,11,d,"[[backwardsc]] as in ""sore"" (""flore-i-da"")",91.49
AK,12,a,"[ə] as in ""bird"" (""flurr-ish"")",64.58
AK,12,b,"[[backwardsc]] as in ""sore"" (""flore-ish"")",18.75
AK,12,c,"[[caret]] as in ""sun"" (""fluh-rish"")",10.42
AK,12,d,other (including if you use one pronunciation for the verb and a different pronunciation for the noun),6.25
AK,13,a,"[i:] as in ""see""",27.08
AK,13,b,"[ɪ] as in ""sit""",68.75
AK,13,c,other,4.17
AK,14,a,"with [[backwardsc]j] as in ""boy"" (""loyer"")",75.0
AK,14,b,"with [ɔ] as in ""saw"" (""law-yer"")",16.67
AK,14,c,I use both interchangeably,8.33
AK,15,a,all 3 are the same,66.67
AK,15,b,all 3 are different,6.25
AK,15,c,Mary and merry are the same; marry is different,6.25
AK,15,d,merry and marry are the same; Mary is different,4.17
AK,15,e,Mary and marry are the same; merry is different,16.67
AK,16,a,"with [æ] as in ""man"" (2 syllables--""man-aze"")",43.48
AK,16,b,"with [ejə] (3 syllables--""may-uh-naze"")",34.78
AK,16,c,I use both interchangeably,10.87
AK,16,d,other,10.87
AK,17,a,"[i:] as in ""near""",53.19
AK,17,b,"[ɪ] as in ""knit""",23.4
AK,17,c,"[ɛ] as in ""net""",4.26
AK,17,d,I say something in between [ɪ] and [ɛ],17.02
AK,17,e,other,2.13
AK,18,a,mischievous (3 syllables),23.4
AK,18,b,mischievious (4 syllables),36.17
AK,18,c,"I write ""mischievous"" but say ""mischievious""",8.51
AK,18,d,I use both,27.66
AK,18,e,other,4.26
AK,19,a,"[e:] as in ""say""",91.49
AK,19,b,"[i:] as in ""see""",2.13
AK,19,c,"I use [e:] with the words in isolation, but [i:] in compounds (such as ""Sunday school"")",4.26
AK,19,d,"other (e.g. do you use one vowel in some day names, and another in the other names?)",2.13
AK,20,a,"[æ] as in ""jam""",65.96
AK,20,b,"[ɑ] as in ""father""",27.66
AK,20,c,other,6.38
AK,21,a,"[pi:kæn] with stress on the first syllable (""PEE-can"")",2.13
AK,21,b,"[pi:kæn] with stress on the second syllable (""pee-CAN"")",4.26
AK,21,c,"[pi:kɑn] with stress on the first syllable (""PEE-Kahn"")",19.15
AK,21,d,"[pi:kɑn] with stress on the second syllable (""pee-KAHN"")",38.3
AK,21,e,"[pɪkæn] (""pick Ann"")",2.13
AK,21,f,"[pɪkɑn] (""pick Ahn"")",27.66
AK,21,g,"I pronounce it differently when it's alone than when it's in a compound like ""pecan pie"" (please state how you pronounce the two variants in the comments box)",6.38
AK,22,a,one syllable,34.04
AK,22,b,two syllables,65.96
AK,23,a,"[i:] as in ""see"" (""reely"")",42.55
AK,23,b,"[ɪ] as in ""sit"" (""rilly"")",34.04
AK,23,c,"[iə] (""ree-l-y"")",10.64
AK,23,d,other (including if you use two or more of these interchangeably),12.77
AK,24,a,"2 syllables (""reel-ter"")",38.3
AK,24,b,"3 syllables (real[ə]tor, in other words ""reel-uh-ter"")",38.3
AK,24,c,3 syllables (ree-l-ter),19.15
AK,24,d,"I don't use this word; I use ""estate agent""",2.13
AK,24,e,other,2.13
AK,25,a,"[u:] as in ""food""",63.04
AK,25,b,"[ʌ] as in ""foot""",2.17
AK,25,c,these four words do not all have the same vowel (please use the comments box to let us know which is which),34.78
AK,26,a,"rhymes with ""hoot""",14.89
AK,26,b,"rhymes with ""out""",25.53
AK,26,c,I can pronounce it either way interchangeably,38.3
AK,26,d,"I say it like ""hoot"" for the noun and like ""out"" for the verb.",8.51
AK,26,e,"I say it like ""out"" for the noun and like ""hoot"" for the verb.",12.77
AK,27,a,"[i] ""sear-up""",23.91
AK,27,b,"[ɪ] ""sih-rup""",6.52
AK,27,c,"[ə] as in ""sir""",67.39
AK,27,d,other,2.17
AK,28,a,different,27.66
AK,28,b,same,72.34
AK,29,a,"all-mond (first syllable sounds like ""all"")",80.85
AK,29,b,ah-mond (no l),8.51
AK,29,d,I say something in between l and nothing,8.51
AK,29,e,other,2.13
AK,30,a,"[s] as in ""sock""",87.23
AK,30,b,"[[sh]] as in ""shock""",12.77
AK,31,a,asteri[ks],19.15
AK,31,b,asteri[sk],48.94
AK,31,c,asteri[k] (with no s in the final cluster),29.79
AK,31,d,other,2.13
AK,32,a,I pronounce the first d,40.0
AK,32,b,I don't pronounce the first d,28.89
AK,32,c,I vary freely between pronouncing the first d and not doing so,2.22
AK,32,d,I only pronounce the first d when I'm speaking slowly/carefully,24.44
AK,32,e,"Depends whether it refers to a political or generic candidate, as in ""that assignment looks like a good candidate for elimination"" (please state how the two pronunciations differ)",2.22
AK,32,f,other,2.22
AK,33,a,[s],34.04
AK,33,b,[z],46.81
AK,33,c,both are acceptable to me,19.15
AK,34,a,pronounced e[ts]etera (4 syllables),60.87
AK,34,b,pronounced e[ts]etra (3 syllables),17.39
AK,34,c,pronounced eksetera (4 syllables),13.04
AK,34,d,pronounced eksetra (3 syllables),6.52
AK,34,e,other,2.17
AK,35,a,"[[g]] as in the middle consonant of ""measure""",53.19
AK,35,b,"[[dg]] as in ""edge""",36.17
AK,35,c,I use both interchangeably,10.64
AK,36,a,"[s] as in ""sock""",27.66
AK,36,b,"[[sh]] as in ""shock""",70.21
AK,36,c,other,2.13
AK,37,a,I pronounce the h,97.87
AK,37,c,I can pronounce the h or not,2.13
AK,38,a,"[s] as in ""sock""",80.85
AK,38,b,"[[sh]] as in ""shock""",17.02
AK,38,c,other,2.13
AK,39,a,[s],78.72
AK,39,b,[z],21.28
AK,40,a,with [kw],59.57
AK,40,b,"with [k] (""cor-ter"")",25.53
AK,40,c,I use both interchangeably,12.77
AK,40,d,other,2.13
AK,41,a,spicket,10.64
AK,41,b,spigot,70.21
AK,41,c,I use both interchangeably,4.26
AK,41,d,"I say ""spicket"" but spell it ""spigot""",6.38
AK,41,f,I don't use either version of this word,8.51
AK,42,a,"the ""g"" is pronounced as [g]",41.3
AK,42,b,"the ""g"" is pronounced as [k]",52.17
AK,42,c,"the ""g"" is silent",6.52
AK,43,a,[s],80.43
AK,43,b,[z],15.22
AK,43,c,either one,4.35
AK,44,a,CREAM cheese (stress on the first syllable),58.7
AK,44,b,cream CHEESE (stress on the second syllable),17.39
AK,44,c,it sounds right either way,21.74
AK,44,d,other,2.17
AK,45,a,INsurance (stress on the first syllable),17.78
AK,45,b,inSURance (stress on the second syllable),80.0
AK,45,c,I can stress either the first or the second syllable,2.22
AK,46,a,NEW Haven,66.67
AK,46,b,New HAVEN,26.67
AK,46,c,I use both interchangeably,6.67
AK,47,a,THANKSgiving,22.22
AK,47,b,ThanksGIVing,68.89
AK,47,c,I use both interchangeably,6.67
AK,47,d,other,2.22
AK,48,a,UMbrella,15.56
AK,48,b,umBRELLa,84.44
AK,49,a,dragged,73.33
AK,49,b,drug,15.56
AK,49,c,I use both interchangeably,11.11
AK,50,a,you all,13.33
AK,50,d,you guys,57.78
AK,50,g,you,15.56
AK,50,h,other,4.44
AK,50,i,y'all,8.89
AK,51,a,yes,43.48
AK,51,b,no,54.35
AK,51,c,other,2.17
AK,52,a,yes,47.83
AK,52,b,no,23.91
AK,52,c,"I can use ""where are you at"" in contexts such as asking someone how s/he is coming along on a project, but not in the general sense of ""where are you physically located in the world at this moment"".",28.26
AK,53,b,no,100.0
AK,54,a,"this use of ""anymore"" is acceptable",4.35
AK,54,b,"this use of ""anymore"" is unacceptable",95.65
AK,55,a,acceptable,8.7
AK,55,b,unacceptable,84.78
AK,55,c,not sure,6.52
AK,56,a,acceptable,45.65
AK,56,b,unacceptable,50.0
AK,56,c,not sure,4.35
AK,57,a,acceptable,19.57
AK,57,b,unacceptable,71.74
AK,57,c,not sure,8.7
AK,58,m,other,4.35
AK,58,b,yard sale,28.26
AK,58,c,garage sale,58.7
AK,58,d,rummage sale,8.7
AK,59,a,mumblety-peg,10.87
AK,59,o,stretch,4.35
AK,59,p,chicken,4.35
AK,59,r,splits,2.17
AK,59,b,mumbledy-peg,17.39
AK,59,t,"I have never heard of this ""game"" and have no idea what it's called",36.96
AK,59,u,other (state here if you have heard one or more of these terms but never knew what they meant),19.57
AK,59,c,mumbly peg,2.17
AK,59,e,mumblely peg (with 2 l's),2.17
AK,60,a,berm,6.52
AK,60,b,parking,2.17
AK,60,e,curb strip,2.17
AK,60,g,verge,4.35
AK,60,h,I have no word for this,80.43
AK,60,i,other,4.35
AK,61,c,traffic island,10.87
AK,61,d,island,34.78
AK,61,f,I have no word for this,28.26
AK,61,g,other,26.09
AK,62,a,median strip,13.04
AK,62,j,other,2.17
AK,62,b,median,73.91
AK,62,g,island,4.35
AK,62,i,I have no word for this,6.52
AK,63,a,milkshake/shake,100.0
