k,asked_median,median_km,p90_km,within_150km,within_500km,state_acc,region_acc,cover50,cover80,cover95
1,1.0,1075.9943738040133,3805.822787903791,0.11916666666666667,0.3225,0.10333333333333333,0.2633333333333333,0.5566666666666666,0.8416666666666667,0.965
2,2.0,865.0087537768876,3805.702260010465,0.13333333333333333,0.36,0.11583333333333333,0.2916666666666667,0.5833333333333334,0.8741666666666666,0.9675
3,3.0,851.5411638025123,3532.070487328062,0.17666666666666667,0.385,0.17166666666666666,0.3325,0.6116666666666667,0.8833333333333333,0.9716666666666667
4,4.0,800.1613381255031,3429.7426626808874,0.1975,0.38916666666666666,0.21416666666666667,0.3466666666666667,0.6341666666666667,0.8983333333333333,0.9783333333333334
5,5.0,685.638292790512,3466.0161735241636,0.2,0.4325,0.23333333333333334,0.37583333333333335,0.6508333333333334,0.9075,0.9825
6,6.0,674.0567370953091,3409.969111933122,0.19833333333333333,0.43166666666666664,0.255,0.37583333333333335,0.6741666666666667,0.9108333333333334,0.9808333333333333
7,7.0,627.5907626876823,2829.2561063502576,0.2175,0.45416666666666666,0.2891666666666667,0.41,0.68,0.9108333333333334,0.9833333333333333
8,8.0,581.8310344592105,2655.2441678007413,0.23166666666666666,0.47333333333333333,0.31166666666666665,0.43083333333333335,0.7,0.9183333333333333,0.9841666666666666
9,9.0,553.5728779531336,2620.027106480021,0.245,0.4816666666666667,0.325,0.44666666666666666,0.7041666666666667,0.9275,0.9858333333333333
10,10.0,523.7163584149139,2447.783361053124,0.24916666666666668,0.4891666666666667,0.3408333333333333,0.45916666666666667,0.7075,0.9308333333333333,0.9858333333333333
11,11.0,489.64482207499594,2439.53967581401,0.25666666666666665,0.5058333333333334,0.3566666666666667,0.4775,0.7183333333333334,0.9325,0.9875
12,12.0,464.6807881434695,2430.859581321113,0.265,0.5216666666666666,0.36666666666666664,0.5058333333333334,0.7283333333333334,0.935,0.9883333333333333
13,13.0,477.17307620264455,2469.1810785705707,0.265,0.5133333333333333,0.36,0.49416666666666664,0.7383333333333333,0.9391666666666667,0.9883333333333333
14,14.0,458.82862625690325,2392.740045953629,0.27666666666666667,0.5241666666666667,0.36916666666666664,0.5008333333333334,0.745,0.9433333333333334,0.9883333333333333
15,15.0,442.9982818371569,2404.4580587397186,0.2775,0.5383333333333333,0.37166666666666665,0.5125,0.7483333333333333,0.9441666666666667,0.9891666666666666
16,16.0,435.29141700389255,2267.841450089704,0.2791666666666667,0.5425,0.37583333333333335,0.5183333333333333,0.7541666666666667,0.9466666666666667,0.9891666666666666
17,17.0,438.16933042370124,2282.5568792148097,0.2775,0.54,0.37666666666666665,0.5175,0.76,0.9466666666666667,0.99
18,18.0,433.21007885229136,2307.6900378713626,0.2816666666666667,0.5458333333333333,0.37833333333333335,0.5175,0.76,0.9516666666666667,0.99
19,19.0,434.22447576865,2325.638611253017,0.27666666666666667,0.545,0.37583333333333335,0.5158333333333334,0.76,0.9558333333333333,0.9908333333333333
20,20.0,429.5634879868453,2321.460189782191,0.2825,0.5491666666666667,0.38083333333333336,0.5233333333333333,0.7616666666666667,0.9566666666666667,0.9925
