k,asked_median,median_km,p90_km,within_150km,within_500km,state_acc,region_acc,cover50,cover80,cover95
1,1.0,1107.8121943598603,3607.455241616043,0.12083333333333333,0.3233333333333333,0.11666666666666667,0.275,0.5275,0.8216666666666667,0.9533333333333334
2,2.0,817.5256110021569,3593.137309298253,0.14666666666666667,0.38166666666666665,0.14666666666666667,0.32166666666666666,0.53,0.8383333333333334,0.9633333333333334
3,3.0,730.0271727199829,3199.3503519905203,0.205,0.42916666666666664,0.23166666666666666,0.39166666666666666,0.5375,0.8391666666666666,0.9683333333333334
4,4.0,646.3653807218899,3278.4550538538374,0.23,0.455,0.2633333333333333,0.405,0.5425,0.8441666666666666,0.9658333333333333
5,5.0,550.788476573642,2903.840329828317,0.25,0.48083333333333333,0.30583333333333335,0.4483333333333333,0.5491666666666667,0.8358333333333333,0.9708333333333333
6,6.0,517.7406666271569,2686.0805769437507,0.265,0.49666666666666665,0.34,0.46,0.5483333333333333,0.8316666666666667,0.9708333333333333
7,7.0,423.1981691422916,2173.378403587148,0.2891666666666667,0.5316666666666666,0.37333333333333335,0.5075,0.5516666666666666,0.8358333333333333,0.9691666666666666
8,8.0,394.46460914040017,2168.0734759439338,0.3125,0.5458333333333333,0.3983333333333333,0.5391666666666667,0.5483333333333333,0.8383333333333334,0.9691666666666666
9,9.0,342.00231053372596,2048.715874363704,0.34,0.5691666666666667,0.4275,0.58,0.56,0.8425,0.9758333333333333
10,10.0,308.2690785513994,1858.8464804175871,0.35833333333333334,0.5933333333333334,0.4525,0.6016666666666667,0.5583333333333333,0.8391666666666666,0.9758333333333333
11,11.0,305.29692127314405,1886.6684527973682,0.36666666666666664,0.6041666666666666,0.4533333333333333,0.605,0.545,0.8375,0.9733333333333334
12,12.0,263.6365382005107,1826.5647782583621,0.3933333333333333,0.625,0.4741666666666667,0.6316666666666667,0.5483333333333333,0.8366666666666667,0.9708333333333333
13,13.0,235.12191435354163,1789.1478429421095,0.4191666666666667,0.6533333333333333,0.49666666666666665,0.66,0.5575,0.8375,0.9675
14,14.0,210.3297117528714,1713.8275444220076,0.44166666666666665,0.6658333333333334,0.5141666666666667,0.6683333333333333,0.5625,0.845,0.9733333333333334
15,15.0,199.7740176405586,1666.0992683226218,0.44333333333333336,0.6766666666666666,0.535,0.6858333333333333,0.5583333333333333,0.8475,0.9691666666666666
16,16.0,189.07079214565775,1575.3532810265908,0.4533333333333333,0.685,0.5416666666666666,0.6941666666666667,0.5566666666666666,0.8483333333333334,0.9716666666666667
17,17.0,168.93896624261032,1467.9629610319787,0.4741666666666667,0.7058333333333333,0.5641666666666667,0.7191666666666666,0.5625,0.8358333333333333,0.9716666666666667
18,18.0,156.0370453595939,1481.817002019425,0.4875,0.7166666666666667,0.5716666666666667,0.72,0.5566666666666666,0.84,0.9708333333333333
19,19.0,145.77432833189926,1453.3398003372477,0.505,0.7216666666666667,0.585,0.7283333333333334,0.56,0.8491666666666666,0.9716666666666667
20,20.0,135.64143652316517,1402.2060523696468,0.5191666666666667,0.735,0.5958333333333333,0.7416666666666667,0.5591666666666667,0.845,0.9733333333333334
