tau,base,eps,n,score,median_km,p90_km,cover50,cover80,cover95
auto(0.2),0.2,0.0,400,-9.3671,1219.3,3865.4,0.585,0.8225,0.965
auto(0.2),0.2,0.02,400,-9.3802,1224.1,3865.4,0.585,0.8225,0.965
auto(0.2),0.2,0.05,400,-9.396,1245.8,3882.5,0.58,0.82,0.965
auto(0.2),0.2,0.1,400,-9.4178,1253.7,3889.4,0.5775,0.82,0.965
auto(0.2),0.2,0.2,400,-9.4534,1253.7,3889.4,0.5675,0.82,0.965
auto(0.3),0.3,0.0,400,-9.2328,974.3,3806.0,0.6,0.8425,0.965
auto(0.3),0.3,0.02,400,-9.2495,994.6,3806.0,0.595,0.8425,0.965
auto(0.3),0.3,0.05,400,-9.2701,1084.9,3829.7,0.595,0.8425,0.965
auto(0.3),0.3,0.1,400,-9.2992,1207.6,3832.3,0.59,0.835,0.965
auto(0.3),0.3,0.2,400,-9.3479,1224.1,3853.1,0.5875,0.8275,0.965
auto(0.41),0.41,0.0,400,-9.103,861.1,3601.0,0.62,0.8525,0.97
auto(0.41),0.41,0.02,400,-9.122,875.8,3708.2,0.6175,0.8525,0.97
auto(0.41),0.41,0.05,400,-9.1461,875.8,3762.8,0.615,0.85,0.9675
auto(0.41),0.41,0.1,400,-9.1808,895.7,3788.4,0.6125,0.8475,0.9675
auto(0.41),0.41,0.2,400,-9.2404,1181.6,3832.3,0.6025,0.8425,0.965
auto(0.55),0.55,0.0,400,-8.9632,701.7,3196.5,0.635,0.8725,0.9725
auto(0.55),0.55,0.02,400,-8.9831,729.6,3300.3,0.63,0.87,0.97
auto(0.55),0.55,0.05,400,-9.0092,747.3,3460.7,0.6325,0.8675,0.97
auto(0.55),0.55,0.1,400,-9.048,832.0,3601.0,0.625,0.865,0.97
auto(0.55),0.55,0.2,400,-9.1169,875.8,3753.2,0.6175,0.8525,0.9675
auto(0.7),0.7,0.0,400,-8.8413,698.7,3171.4,0.625,0.8825,0.975
auto(0.7),0.7,0.02,400,-8.8606,704.1,3113.1,0.6325,0.8825,0.975
auto(0.7),0.7,0.05,400,-8.8869,715.1,3068.6,0.64,0.885,0.975
auto(0.7),0.7,0.1,400,-8.9269,739.2,3300.3,0.6425,0.88,0.975
auto(0.7),0.7,0.2,400,-9.0008,821.8,3570.9,0.6275,0.875,0.97
auto(0.85),0.85,0.0,400,-8.7439,679.5,3171.4,0.615,0.88,0.9775
auto(0.85),0.85,0.02,400,-8.7618,686.8,3171.4,0.62,0.8825,0.9775
auto(0.85),0.85,0.05,400,-8.7868,696.8,3171.4,0.6225,0.8825,0.975
auto(0.85),0.85,0.1,400,-8.826,704.1,3171.4,0.625,0.885,0.975
auto(0.85),0.85,0.2,400,-8.9009,732.9,3300.3,0.6375,0.885,0.975
auto(1.0),1.0,0.0,400,-8.6671,600.3,3056.7,0.6075,0.8675,0.975
auto(1.0),1.0,0.02,400,-8.6831,612.1,3102.6,0.61,0.8725,0.9775
auto(1.0),1.0,0.05,400,-8.706,658.9,3113.1,0.6125,0.8725,0.9775
auto(1.0),1.0,0.1,400,-8.7429,661.8,3171.4,0.6175,0.88,0.98
auto(1.0),1.0,0.2,400,-8.816,709.9,3171.4,0.63,0.885,0.9775
