tau,base,eps,n,score,median_km,p90_km,cover50,cover80,cover95
auto(0.2),0.2,0.0,1450,-9.1756,1178.5,3916.6,0.6352,0.8814,0.9697
auto(0.2),0.2,0.02,1450,-9.1764,1178.5,3916.6,0.6366,0.8814,0.9697
auto(0.2),0.2,0.05,1450,-9.1776,1178.5,3916.6,0.6366,0.8841,0.9697
auto(0.2),0.2,0.1,1450,-9.1796,1178.5,3916.6,0.6366,0.8828,0.9703
auto(0.2),0.2,0.2,1450,-9.1836,1178.5,3916.6,0.6372,0.8821,0.971
auto(0.3),0.3,0.0,1450,-9.1655,1178.5,3916.6,0.6379,0.8724,0.9703
auto(0.3),0.3,0.02,1450,-9.1659,1178.5,3916.6,0.64,0.8738,0.9703
auto(0.3),0.3,0.05,1450,-9.1666,1178.5,3916.6,0.6386,0.8759,0.9703
auto(0.3),0.3,0.1,1450,-9.1679,1178.5,3916.6,0.6407,0.8793,0.9703
auto(0.3),0.3,0.2,1450,-9.1715,1178.5,3916.6,0.64,0.8807,0.9703
auto(0.41),0.41,0.0,1450,-9.1634,1178.5,3916.6,0.6345,0.8676,0.9683
auto(0.41),0.41,0.02,1450,-9.1629,1178.5,3916.6,0.6366,0.869,0.9683
auto(0.41),0.41,0.05,1450,-9.1624,1178.5,3916.6,0.6386,0.8703,0.9683
auto(0.41),0.41,0.1,1450,-9.1623,1178.5,3916.6,0.6386,0.8724,0.9683
auto(0.41),0.41,0.2,1450,-9.1638,1178.5,3916.6,0.6407,0.8752,0.9697
auto(0.55),0.55,0.0,1450,-9.1727,1155.5,3906.6,0.6234,0.8531,0.9621
auto(0.55),0.55,0.02,1450,-9.1707,1155.5,3906.6,0.6248,0.8572,0.9628
auto(0.55),0.55,0.05,1450,-9.1682,1155.5,3906.6,0.629,0.8593,0.9655
auto(0.55),0.55,0.1,1450,-9.1651,1155.5,3906.6,0.631,0.8621,0.9655
auto(0.55),0.55,0.2,1450,-9.162,1156.4,3906.6,0.6359,0.869,0.9669
auto(0.7),0.7,0.0,1450,-9.1959,1155.5,3906.6,0.6124,0.8414,0.951
auto(0.7),0.7,0.02,1450,-9.1919,1155.5,3906.6,0.6145,0.8441,0.9559
auto(0.7),0.7,0.05,1450,-9.1867,1155.5,3906.6,0.6159,0.8476,0.9586
auto(0.7),0.7,0.1,1450,-9.1795,1155.5,3906.6,0.6207,0.8497,0.9607
auto(0.7),0.7,0.2,1450,-9.1694,1155.5,3906.6,0.6255,0.8566,0.9655
auto(0.85),0.85,0.0,1450,-9.2311,1155.5,3906.6,0.5952,0.8283,0.9372
auto(0.85),0.85,0.02,1450,-9.2249,1155.5,3906.6,0.6,0.8324,0.9379
auto(0.85),0.85,0.05,1450,-9.2165,1155.5,3906.6,0.6014,0.8338,0.9386
auto(0.85),0.85,0.1,1450,-9.2045,1155.5,3906.6,0.6076,0.8372,0.9497
auto(0.85),0.85,0.2,1450,-9.1859,1155.5,3906.6,0.6152,0.8497,0.96
auto(1.0),1.0,0.0,1450,-9.2769,1119.5,3859.8,0.5772,0.8166,0.9303
auto(1.0),1.0,0.02,1450,-9.2683,1119.5,3859.8,0.58,0.8186,0.9331
auto(1.0),1.0,0.05,1450,-9.2565,1119.5,3859.8,0.5848,0.82,0.9372
auto(1.0),1.0,0.1,1450,-9.239,1155.5,3906.6,0.589,0.8262,0.9359
auto(1.0),1.0,0.2,1450,-9.2107,1155.5,3906.6,0.6021,0.8366,0.9483
