true_rho,realised_rho,theta,movers,surface_mae,tau_base,deployed_rho,k,median_km,p90_km,within_150km,state_acc,region_acc,logscore,calib_err,cover50,cover80,cover95
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.55,0.0,1,1124.5595780483486,3667.0551296560193,0.1125,0.10416666666666667,0.2425,-9.446116643290663,0.01527777777777776,0.5216666666666666,0.8208333333333333,0.9533333333333334
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.55,0.0,2,1006.5504813830717,3555.4092000554715,0.11666666666666667,0.12166666666666667,0.2683333333333333,-9.29298748850776,0.02388888888888892,0.545,0.8191666666666667,0.9575
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.55,0.0,3,955.4172233050247,3375.410820427849,0.15,0.16333333333333333,0.3175,-9.16259419726096,0.026388888888888868,0.5433333333333333,0.8258333333333333,0.96
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.55,0.0,4,961.512184700665,3250.5596075880094,0.155,0.18833333333333332,0.3283333333333333,-9.055326668659728,0.032777777777777795,0.56,0.8316666666666667,0.9566666666666667
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.55,0.0,5,833.0339769512503,3116.447665292807,0.165,0.20666666666666667,0.36583333333333334,-8.913756096405836,0.034722222222222245,0.5633333333333334,0.8325,0.9583333333333334
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.55,0.0,6,787.0822418194076,3118.6036676747926,0.175,0.23083333333333333,0.37416666666666665,-8.808152488914356,0.033333333333333326,0.5591666666666667,0.835,0.9558333333333333
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.55,0.0,8,659.8619796180585,2793.060628142658,0.2125,0.2683333333333333,0.41333333333333333,-8.637752446667124,0.036388888888888915,0.5691666666666667,0.8366666666666667,0.9533333333333334
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.55,0.0,10,588.4308944430541,2652.4866933069356,0.24333333333333335,0.3075,0.4675,-8.49787134719904,0.033333333333333326,0.5691666666666667,0.8258333333333333,0.945
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.55,0.0,12,496.5287871715883,2459.3369269733475,0.2625,0.3466666666666667,0.49916666666666665,-8.387877546983512,0.03444444444444442,0.5658333333333333,0.8233333333333334,0.9358333333333333
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.55,0.0,14,450.93752348694966,2578.320123854177,0.295,0.365,0.5258333333333334,-8.276130473325614,0.03888888888888886,0.5675,0.8258333333333333,0.9266666666666666
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.55,0.0,16,400.9714694139011,2375.0391324213515,0.31333333333333335,0.38333333333333336,0.5375,-8.199639434538742,0.03333333333333329,0.5558333333333333,0.8125,0.9183333333333333
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.55,0.0,18,367.3227312551839,2380.137431133519,0.31916666666666665,0.40166666666666667,0.5466666666666666,-8.13172329331504,0.033055555555555505,0.5608333333333333,0.8075,0.9191666666666667
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.55,0.0,20,329.25940998346215,2198.048066709994,0.34,0.4225,0.5758333333333333,-8.045086177665745,0.03722222222222219,0.5675,0.8066666666666666,0.9125
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.55,0.177,1,1124.5595780483486,3667.0551296560193,0.1125,0.10416666666666667,0.2425,-9.446116643290663,0.01527777777777776,0.5216666666666666,0.8208333333333333,0.9533333333333334
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.55,0.177,2,1008.9346390752376,3649.154466719567,0.11333333333333333,0.11166666666666666,0.2575,-9.322719988585883,0.025555555555555554,0.545,0.8225,0.9591666666666666
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.55,0.177,3,1125.853463521923,3565.1193971855755,0.13916666666666666,0.13916666666666666,0.275,-9.23470160415065,0.035277777777777776,0.555,0.8366666666666667,0.9641666666666666
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.55,0.177,4,1095.1528986849755,3504.9631315176543,0.13666666666666666,0.15083333333333335,0.2791666666666667,-9.17801468631537,0.04305555555555555,0.5775,0.8416666666666667,0.96
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.55,0.177,5,979.1741707405636,3500.53870989219,0.13833333333333334,0.16,0.2875,-9.09799352976015,0.05305555555555556,0.5908333333333333,0.85,0.9683333333333334
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.55,0.177,6,991.2706438685159,3512.392253768792,0.14166666666666666,0.17666666666666667,0.2916666666666667,-9.051679692450694,0.05722222222222221,0.5958333333333333,0.8558333333333333,0.97
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.55,0.177,8,940.3459538167128,3188.3055091633214,0.16166666666666665,0.19666666666666666,0.3125,-8.993774626924168,0.06500000000000002,0.6166666666666667,0.8566666666666667,0.9716666666666667
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.55,0.177,10,970.301361073157,3143.499604466494,0.15833333333333333,0.18833333333333332,0.31,-8.955466403302694,0.07388888888888889,0.6325,0.8658333333333333,0.9733333333333334
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.55,0.177,12,928.1982080652792,3099.238868606417,0.16166666666666665,0.20416666666666666,0.32166666666666666,-8.928891417349718,0.07722222222222219,0.6391666666666667,0.8683333333333333,0.9741666666666666
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.55,0.177,14,930.9591398783086,3084.8434104835123,0.16166666666666665,0.2,0.31166666666666665,-8.90763259791843,0.07694444444444444,0.6366666666666667,0.8691666666666666,0.975
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.55,0.177,16,953.8234507211178,3506.2500142256026,0.15166666666666667,0.19083333333333333,0.305,-8.88841559001216,0.07916666666666665,0.6391666666666667,0.8733333333333333,0.975
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.55,0.177,18,988.8110163345618,3547.635303239435,0.1475,0.18333333333333332,0.2925,-8.878391843972322,0.08583333333333336,0.6483333333333333,0.8816666666666667,0.9775
0.18,0.17336596399076887,0.380859375,165,20.015519908796794,0.55,0.177,20,1028.4694819400374,3556.2207143576275,0.14,0.17916666666666667,0.2816666666666667,-8.867649500452623,0.08499999999999996,0.6475,0.8783333333333333,0.9791666666666666
