true_rho,realised_rho,theta,movers,deployed_rho,k,median_km,p90_km,within_150km,state_acc,region_acc,logscore,calib_err,cover50,cover80,cover95
0.0,0.006253440667729669,0.0,0,0.0,5,584.1125061214249,3279.3340701072975,0.2275,0.2675,0.42083333333333334,-8.641321452771622,0.08333333333333333,0.6275,0.89,0.9825
0.0,0.006253440667729669,0.0,0,0.0,8,404.63460621992783,2299.1846265906543,0.29,0.38083333333333336,0.5258333333333334,-8.248128051226042,0.10083333333333333,0.6533333333333333,0.91,0.9891666666666666
0.0,0.006253440667729669,0.0,0,0.0,12,296.3639072348856,1977.171849733008,0.36666666666666664,0.4608333333333333,0.6158333333333333,-7.833264685902862,0.11444444444444446,0.6725,0.9283333333333333,0.9925
0.0,0.006253440667729669,0.0,0,0.0,16,225.36064470703846,1664.2920337980086,0.4083333333333333,0.5141666666666667,0.6616666666666666,-7.501655825152031,0.12055555555555553,0.6858333333333333,0.9316666666666666,0.9941666666666666
0.0,0.006253440667729669,0.0,0,0.0,20,174.16664747059866,1524.8384391184088,0.45666666666666667,0.5566666666666666,0.7091666666666666,-7.247389402517971,0.12666666666666662,0.6908333333333333,0.9408333333333333,0.9983333333333333
0.0,0.006253440667729669,0.0,0,0.05,5,664.4289023929462,3429.6550848666725,0.21333333333333335,0.24083333333333334,0.39166666666666666,-8.745207288637502,0.08249999999999998,0.6283333333333333,0.8875,0.9816666666666667
0.0,0.006253440667729669,0.0,0,0.05,8,473.2157070366562,2451.03217956556,0.2633333333333333,0.3441666666666667,0.4791666666666667,-8.470105653537681,0.10833333333333332,0.6766666666666666,0.9116666666666666,0.9866666666666667
0.0,0.006253440667729669,0.0,0,0.05,12,374.79380096234104,2192.1650308171284,0.2975,0.39166666666666666,0.5425,-8.214319512826899,0.1272222222222222,0.705,0.9383333333333334,0.9883333333333333
0.0,0.006253440667729669,0.0,0,0.05,16,336.32949153776303,1886.7913011696287,0.32166666666666666,0.415,0.5725,-8.035437140852814,0.14444444444444446,0.7408333333333333,0.9508333333333333,0.9916666666666667
0.0,0.006253440667729669,0.0,0,0.05,20,296.87775854500364,1760.5734380253098,0.355,0.45416666666666666,0.6216666666666667,-7.922080873847844,0.15194444444444444,0.7566666666666667,0.955,0.9941666666666666
0.0,0.006253440667729669,0.0,0,0.09,5,698.9320632440348,3469.000640797498,0.19666666666666666,0.225,0.375,-8.817640140924212,0.08222222222222224,0.6258333333333334,0.8883333333333333,0.9825
0.0,0.006253440667729669,0.0,0,0.09,8,531.6759381447877,2680.469771016776,0.24416666666666667,0.3233333333333333,0.4483333333333333,-8.612309543745718,0.10388888888888888,0.6683333333333333,0.9075,0.9858333333333333
0.0,0.006253440667729669,0.0,0,0.09,12,438.96317977563797,2384.665184413595,0.26666666666666666,0.355,0.5016666666666667,-8.43870174018648,0.1261111111111111,0.7091666666666666,0.9341666666666667,0.985
0.0,0.006253440667729669,0.0,0,0.09,16,385.82758150269547,2192.345611203909,0.2825,0.37833333333333335,0.5341666666666667,-8.32737166844035,0.13694444444444442,0.7316666666666667,0.94,0.9891666666666666
0.0,0.006253440667729669,0.0,0,0.09,20,384.7969099773537,2261.796451905202,0.2833333333333333,0.37333333333333335,0.5325,-8.268895159554274,0.1447222222222222,0.7433333333333333,0.9475,0.9933333333333333
0.0,0.006253440667729669,0.0,0,0.13,5,756.5698763052644,3475.7657280675767,0.18333333333333332,0.21,0.355,-8.881284905046726,0.07833333333333332,0.62,0.8858333333333334,0.9791666666666666
0.0,0.006253440667729669,0.0,0,0.13,8,616.0604770964976,2966.772265010165,0.21916666666666668,0.2891666666666667,0.4066666666666667,-8.728064342101197,0.09999999999999998,0.6583333333333333,0.9075,0.9841666666666666
0.0,0.006253440667729669,0.0,0,0.13,12,527.5964408146147,2631.0179507106336,0.2375,0.315,0.4625,-8.608986574626233,0.1177777777777778,0.6958333333333333,0.925,0.9825
0.0,0.006253440667729669,0.0,0,0.13,16,502.52941733527416,2648.284477249262,0.23916666666666667,0.32166666666666666,0.4633333333333333,-8.53770268316672,0.12499999999999996,0.7091666666666666,0.9308333333333333,0.985
0.0,0.006253440667729669,0.0,0,0.13,20,540.7813501814226,2702.386341710583,0.23583333333333334,0.30416666666666664,0.445,-8.50387170812092,0.12777777777777777,0.7108333333333333,0.9341666666666667,0.9883333333333333
0.0,0.006253440667729669,0.0,0,0.177,5,814.3470809984619,3502.4067370671196,0.17916666666666667,0.19666666666666666,0.3358333333333333,-8.946285120630188,0.07638888888888888,0.6183333333333333,0.8841666666666667,0.9766666666666667
0.0,0.006253440667729669,0.0,0,0.177,8,732.2857169221177,3398.26622387506,0.19583333333333333,0.25166666666666665,0.3625,-8.837819213204083,0.09138888888888892,0.6458333333333334,0.9,0.9783333333333334
0.0,0.006253440667729669,0.0,0,0.177,12,624.685167429049,2868.626922860492,0.205,0.26916666666666667,0.4041666666666667,-8.7606668664283,0.10805555555555557,0.6783333333333333,0.9158333333333334,0.98
0.0,0.006253440667729669,0.0,0,0.177,16,683.4762108153345,3141.914752683954,0.19333333333333333,0.25083333333333335,0.37666666666666665,-8.717097855036423,0.11166666666666669,0.685,0.9183333333333333,0.9816666666666667
0.0,0.006253440667729669,0.0,0,0.177,20,761.3506551600848,3441.6551845816302,0.185,0.23166666666666666,0.36,-8.697931543761399,0.11527777777777777,0.6883333333333334,0.9241666666666667,0.9833333333333333
0.05,0.04939234370723746,0.2109375,0,0.0,5,625.2415307141114,3337.7134079172247,0.21916666666666668,0.25,0.4041666666666667,-8.65209701409558,0.08111111111111113,0.6225,0.8883333333333333,0.9825
0.05,0.04939234370723746,0.2109375,0,0.0,8,409.0467069367633,2229.5928344927593,0.2808333333333333,0.37333333333333335,0.525,-8.250024740584259,0.09750000000000003,0.6416666666666667,0.9091666666666667,0.9916666666666667
0.05,0.04939234370723746,0.2109375,0,0.0,12,307.6323418230841,2035.5793948477994,0.3441666666666667,0.43666666666666665,0.5975,-7.845228760505427,0.11027777777777774,0.6616666666666666,0.9258333333333333,0.9933333333333333
0.05,0.04939234370723746,0.2109375,0,0.0,16,235.2090833678359,1666.6919914989999,0.39916666666666667,0.49416666666666664,0.6566666666666666,-7.496846577183266,0.11666666666666665,0.6775,0.9283333333333333,0.9941666666666666
0.05,0.04939234370723746,0.2109375,0,0.0,20,187.20915662600322,1549.7729955565285,0.4483333333333333,0.555,0.7275,-7.249508228644372,0.12,0.685,0.9316666666666666,0.9933333333333333
0.05,0.04939234370723746,0.2109375,0,0.05,5,712.2563640503865,3446.7606017669113,0.20416666666666666,0.2275,0.3775,-8.752954958107978,0.08166666666666667,0.6233333333333333,0.89,0.9816666666666667
0.05,0.04939234370723746,0.2109375,0,0.05,8,495.57388244637986,2528.491723944801,0.25666666666666665,0.3325,0.47333333333333333,-8.466799665794461,0.10638888888888887,0.6666666666666666,0.9116666666666666,0.9908333333333333
0.05,0.04939234370723746,0.2109375,0,0.05,12,385.0970544070913,2314.7333311266525,0.28833333333333333,0.3825,0.5408333333333334,-8.216531542391444,0.12222222222222223,0.6933333333333334,0.9316666666666666,0.9916666666666667
0.05,0.04939234370723746,0.2109375,0,0.05,16,334.8332264359286,1805.7001799513962,0.3233333333333333,0.4216666666666667,0.5883333333333334,-8.021455983887403,0.13944444444444445,0.7308333333333333,0.945,0.9925
0.05,0.04939234370723746,0.2109375,0,0.05,20,303.9139927076055,1784.9277945755764,0.3566666666666667,0.44916666666666666,0.62,-7.912534509925449,0.1525,0.7591666666666667,0.9533333333333334,0.995
0.05,0.04939234370723746,0.2109375,0,0.09,5,753.2070414195751,3461.984987058805,0.1875,0.21083333333333334,0.3566666666666667,-8.823850233472687,0.08138888888888889,0.6216666666666667,0.8925,0.98
0.05,0.04939234370723746,0.2109375,0,0.09,8,546.6587276198609,2653.614331038953,0.235,0.30666666666666664,0.44333333333333336,-8.607702494807711,0.10388888888888888,0.6641666666666667,0.9091666666666667,0.9883333333333333
0.05,0.04939234370723746,0.2109375,0,0.09,12,465.825297889448,2449.3875087327815,0.25583333333333336,0.33666666666666667,0.49416666666666664,-8.438557633174463,0.12055555555555557,0.6958333333333333,0.9291666666666667,0.9866666666666667
0.05,0.04939234370723746,0.2109375,0,0.09,16,410.91724003556794,2287.2510244723903,0.2775,0.36583333333333334,0.5216666666666666,-8.31391187037821,0.135,0.7258333333333333,0.9383333333333334,0.9908333333333333
0.05,0.04939234370723746,0.2109375,0,0.09,20,399.5538074202169,2277.2302760470943,0.28833333333333333,0.37166666666666665,0.53,-8.258988733522656,0.14222222222222225,0.7416666666666667,0.9441666666666667,0.9908333333333333
0.05,0.04939234370723746,0.2109375,0,0.13,5,830.6023394598092,3500.8723767528736,0.175,0.19666666666666666,0.335,-8.886412909829538,0.07944444444444447,0.6175,0.8933333333333333,0.9775
0.05,0.04939234370723746,0.2109375,0,0.13,8,631.6077454634277,2807.5613836953003,0.21416666666666667,0.2758333333333333,0.4008333333333333,-8.723083287162932,0.09888888888888887,0.6541666666666667,0.9083333333333333,0.9841666666666666
0.05,0.04939234370723746,0.2109375,0,0.13,12,544.9824607445862,2646.0858245760187,0.225,0.30083333333333334,0.4533333333333333,-8.607934545344387,0.11499999999999995,0.69,0.9216666666666666,0.9833333333333333
0.05,0.04939234370723746,0.2109375,0,0.13,16,544.9824607445862,2726.287115332208,0.23,0.3025,0.4475,-8.525713478351356,0.12416666666666669,0.7075,0.9283333333333333,0.9866666666666667
0.05,0.04939234370723746,0.2109375,0,0.13,20,541.3524531549467,2726.287115332208,0.23583333333333334,0.30416666666666664,0.4475,-8.494817708026662,0.12694444444444444,0.7141666666666666,0.93,0.9866666666666667
0.05,0.04939234370723746,0.2109375,0,0.177,5,873.3566958497297,3527.923690699936,0.1675,0.1825,0.31666666666666665,-8.950504237296675,0.07777777777777779,0.6158333333333333,0.8908333333333334,0.9766666666666667
0.05,0.04939234370723746,0.2109375,0,0.177,8,750.6768226279678,3332.3598387765905,0.19666666666666666,0.245,0.35833333333333334,-8.832862967404864,0.09305555555555552,0.6466666666666666,0.9033333333333333,0.9791666666666666
0.05,0.04939234370723746,0.2109375,0,0.177,12,655.7330171513659,2914.6273267259085,0.19333333333333333,0.25083333333333335,0.3933333333333333,-8.759212435087218,0.10499999999999998,0.6725,0.9116666666666666,0.9808333333333333
0.05,0.04939234370723746,0.2109375,0,0.177,16,701.519351660116,3332.3598387765905,0.18916666666666668,0.24666666666666667,0.37583333333333335,-8.706748096746837,0.11194444444444444,0.6833333333333333,0.9183333333333333,0.9841666666666666
0.05,0.04939234370723746,0.2109375,0,0.177,20,824.0918511814245,3475.84334907091,0.18583333333333332,0.225,0.3525,-8.689991857604412,0.11694444444444445,0.6908333333333333,0.9241666666666667,0.9858333333333333
