model,k,n,n_mover,logscore_m0,logscore_at_MOVER,gain_nats,gain_lo95,gain_hi95,gain_stayer,gain_mover,best_m,logscore_best
bayes(rho=0),1,6000,863,-9.381685468564859,-9.40360512860935,-0.021919660044490433,-0.023488096134723805,-0.020377922766214637,-0.031587970545779345,0.035630874190875926,0.0,-9.381685468564859
net,1,6000,863,-9.42659562364161,-9.416942469833394,0.009653153808217447,0.006135718463920115,0.013172370216898491,-0.009078223577120938,0.12115151490727107,0.155,-9.416929941505956
bayes(rho=0),5,6000,863,-8.798653938930906,-8.842986920446291,-0.04433298151538543,-0.048442283887785494,-0.040037261562558706,-0.08280494741662013,0.1846710611667034,0.0,-8.798653938930906
net,5,6000,863,-8.825000414900082,-8.837260337508463,-0.01225992260838244,-0.017609544191402392,-0.007204823677373129,-0.06082651351052566,0.2768322876631235,0.03,-8.82372871101452
bayes(rho=0),12,6000,863,-8.220956152178834,-8.233079819692975,-0.012123667514139586,-0.0239583222970132,-0.0005121692407162166,-0.11686473069344878,0.6113466007965341,0.035,-8.201586252970474
net,12,6000,863,-8.261770570519529,-8.288870248251575,-0.02709967773204583,-0.03341478618799163,-0.02117113212759464,-0.09807915101706347,0.39540502014180773,0.015,-8.261330796707515
bayes(rho=0),14,6000,863,-8.115391127519715,-8.101662581166133,0.01372854635358206,-0.000734569256312516,0.029078274415185724,-0.12230281860563381,0.8234540640772112,0.05,-8.076040807930141
net,14,6000,863,-8.14813742434107,-8.177142550805929,-0.02900512646485967,-0.03495787038107603,-0.02213211365656162,-0.10575568708258834,0.42785191860266325,0.015,-8.147598218609696
bayes(rho=0),20,6000,863,-7.883783351005705,-7.797489651801828,0.08629369920387704,0.06396775372657798,0.10925805756774058,-0.1323835896423623,1.3879683606211788,0.075,-7.780260553206117
net,20,6000,863,-7.892991372152976,-7.924710699575165,-0.031719327422188914,-0.038593109540753096,-0.025081125375187002,-0.11826344908030349,0.48343380462617086,0.015,-7.892297047504124
bayes(rho=0),30,6000,863,-7.657045747047162,-7.473514852737153,0.18353089431000824,0.15125614712910443,0.21860834941924795,-0.13908234246025045,2.103883382477817,0.09,-7.461745764300622
net,30,6000,863,-7.6499191886632225,-7.684678855066685,-0.034759666403461245,-0.041817594342137686,-0.02775400599111905,-0.12912180322182532,0.5269301329429308,0.015,-7.649152288243315
