model,k,quantity,ratio_mover_over_stayer,lo95,hi95,n_mover,n_stayer,auc,auc_lo95,auc_hi95
prior,0,width80,1.0,1.0,1.0,863,5137,,,
prior,0,error,0.9833439588546753,0.8910633325576782,1.0903371572494507,863,5137,,,
prior,0,entropy,1.0,1.0,1.0,863,5137,,,
net,1,width80,1.0,0.9104173725230184,1.0,863,5137,0.5096562755245554,0.4882291450573327,0.5301766863007958
net,1,error,1.232876174268072,1.1125380293771994,1.3279858528005062,863,5137,,,
net,1,entropy,1.0,0.9796206288289001,1.0,863,5137,0.5099429738716525,0.4885116357694734,0.5303112456679158
net+mix,1,width80,1.0,0.9246795542002878,1.0,863,5137,0.5096562755245554,0.4882291450573327,0.5301766863007958
net+mix,1,error,1.3344584658359506,1.1828528850690785,1.4396846532970118,863,5137,,,
net+mix,1,entropy,1.0,0.9821288064355992,1.0,863,5137,0.5098610922823557,0.4884870119186188,0.5302531032235646
bayes(rho=0),1,width80,1.0,0.9686043043236885,1.0,863,5137,0.4978998387406386,0.47829346436759745,0.5193455050082799
bayes(rho=0),1,error,1.3021246350913347,1.194986106045073,1.4309548963176195,863,5137,,,
bayes(rho=0),1,entropy,1.0,0.9894881623996393,1.0,863,5137,0.5098387609398202,0.4884447356853401,0.530282052537747
bayes(rho=0)@cluster,1,width80,1.0,0.967178859706604,1.0,863,5137,0.4978998387406386,0.47829346436759745,0.5193455050082799
bayes(rho=0)@cluster,1,error,1.3054654493559323,1.1955183173768484,1.4306298777005084,863,5137,,,
bayes(rho=0)@cluster,1,entropy,1.0,0.9906026543491242,1.0,863,5137,0.5115575976077041,0.4905012578911027,0.5322926010707361
bayes(rho=0)+mix,1,width80,1.0,0.9801246171718239,1.0,863,5137,0.4978998387406386,0.47829346436759745,0.5193455050082799
bayes(rho=0)+mix,1,error,1.0480750101517475,0.9977446706434955,1.139664634508157,863,5137,,,
bayes(rho=0)+mix,1,entropy,1.0,0.9936524605626096,1.0,863,5137,0.5025224266454872,0.48294038791439925,0.5229927886832777
bayes(rho=0.177),1,width80,1.0,0.9686043043236885,1.0,863,5137,0.4978998387406386,0.47829346436759745,0.5193455050082799
bayes(rho=0.177),1,error,1.3021246350913347,1.194986106045073,1.4309548963176195,863,5137,,,
bayes(rho=0.177),1,entropy,1.0,0.9894881623996393,1.0,863,5137,0.5098387609398202,0.4884447356853401,0.530282052537747
net,5,width80,1.0206486507783727,0.9904222919476675,1.094268286673363,863,5137,0.5146799253185769,0.4946145456230623,0.5355067941681579
net,5,error,2.9558145055010465,2.748363250126923,3.231397420290109,863,5137,,,
net,5,entropy,1.005628784237783,0.9957306827918124,1.010319123695449,863,5137,0.5130091348725118,0.4930516663852063,0.5341295305370231
net+mix,5,width80,1.0186279520770103,0.9949136746163303,1.0634832353469459,863,5137,0.5158235607393343,0.49613491822721023,0.5363548834798708
net+mix,5,error,2.8846551624781402,2.6513132821464724,3.1064583313918286,863,5137,,,
net+mix,5,entropy,1.0020579268705276,0.9977488274186935,1.0052771184252398,863,5137,0.5124939350103795,0.49303346128162384,0.533403832069719
bayes(rho=0),5,width80,1.0145846965122838,0.9935929430303342,1.0384983285455132,863,5137,0.5109113420888738,0.4903124610212702,0.530917007399878
bayes(rho=0),5,error,2.478458178052511,2.1763018641997633,2.6745277233587266,863,5137,,,
bayes(rho=0),5,entropy,1.00142098415107,0.9987552989358681,1.0041153690819298,863,5137,0.5108283326539943,0.49086489935555744,0.5311158647709167
bayes(rho=0)@cluster,5,width80,1.0174936055843862,0.9921437891895715,1.041039505323223,863,5137,0.5112609742194801,0.49048966261325594,0.5312870440378662
bayes(rho=0)@cluster,5,error,2.5152590778969053,2.2279522705746335,2.7117893969702123,863,5137,,,
bayes(rho=0)@cluster,5,entropy,1.0016293068002524,0.9984496902929221,1.0040761224049213,863,5137,0.5106950213061309,0.4907236802298003,0.5310027393115196
bayes(rho=0)+mix,5,width80,1.0103348915231571,0.9924117879355677,1.0243470013648057,863,5137,0.5114233839833746,0.4911815212366645,0.5313844020151764
bayes(rho=0)+mix,5,error,2.2300435579198394,1.9815049673423917,2.4731127797963666,863,5137,,,
bayes(rho=0)+mix,5,entropy,1.0005643536443478,0.9987368396542609,1.0030357961707428,863,5137,0.5107243452912785,0.49072603642870816,0.5312894623055703
bayes(rho=0.177),5,width80,1.002939931841659,0.9953006153230944,1.0283187983155277,863,5137,0.51314537861889,0.49307199002256563,0.5331869881931011
bayes(rho=0.177),5,error,1.7426395763041962,1.580231899000406,1.939180210246405,863,5137,,,
bayes(rho=0.177),5,entropy,1.0006542625383412,0.9992641917118463,1.0023470593760722,863,5137,0.5113631570292637,0.4910125713139404,0.5316321060452012
net,12,width80,1.0194014104504174,0.9624231795476582,1.0846378723987415,863,5137,0.5055349021966146,0.48512717145040823,0.5255157981621116
net,12,error,6.391341777230733,5.897351562789332,6.9369533826396435,863,5137,,,
net,12,entropy,1.001146381430139,0.9927621130932249,1.0070877920369095,863,5137,0.5021073794710901,0.48226803180990147,0.5224262809103032
net+mix,12,width80,1.006932246455566,0.9685125466283556,1.0584117026088353,863,5137,0.5052732420214512,0.4846839242001446,0.5251317163453876
net+mix,12,error,6.296519503184171,5.796565653915878,6.819637893628835,863,5137,,,
net+mix,12,entropy,1.0005738177527836,0.9937967900844783,1.005124641397365,863,5137,0.5016860163614303,0.48182677482995245,0.5219673794289893
bayes(rho=0),12,width80,1.0194428631664532,0.9675065445136104,1.0873451773372924,863,5137,0.5100970375782359,0.48915503732363586,0.5308799645935237
bayes(rho=0),12,error,4.570265227738527,4.074987461614595,4.96193930936476,863,5137,,,
bayes(rho=0),12,entropy,1.0039219161277237,0.997698611524009,1.0106975568131968,863,5137,0.5091480683050353,0.4886240522231845,0.5300079615747805
bayes(rho=0)@cluster,12,width80,1.019666374415272,0.9679634224713395,1.0850382209222689,863,5137,0.5100751573739334,0.48913665480424623,0.5308068116011971
bayes(rho=0)@cluster,12,error,4.647896046009087,4.104245623730247,5.078320886329946,863,5137,,,
bayes(rho=0)@cluster,12,entropy,1.0040160903922866,0.9971973864684527,1.010534895453805,863,5137,0.5087109153572191,0.48799915996521676,0.5293625246839819
bayes(rho=0)+mix,12,width80,1.0215923074704847,0.9845314675711045,1.0628325065315678,863,5137,0.5092838609131805,0.4885867386417679,0.5299391344553955
bayes(rho=0)+mix,12,error,4.46970226823848,3.9822819880920117,4.808830857268522,863,5137,,,
bayes(rho=0)+mix,12,entropy,1.0028728961330942,0.9982702405486499,1.0086237031433967,863,5137,0.5088304669889748,0.4884912803847593,0.5293673454695862
bayes(rho=0.177),12,width80,1.0052383804366265,0.9951246464867886,1.0217679112133409,863,5137,0.5072384001645752,0.48663355214573706,0.5276279539641973
bayes(rho=0.177),12,error,1.8151080075285975,1.6352286830796585,1.9935384139980343,863,5137,,,
bayes(rho=0.177),12,entropy,1.0010583095042438,0.9995308749923599,1.0024851492544455,863,5137,0.5074745710295718,0.4867187770487552,0.5275427415732523
net,14,width80,1.0086017928310633,0.9296871258400378,1.0888117809899474,863,5137,0.5016307519278829,0.48141090473136994,0.5219028669873393
net,14,error,7.175127263983737,6.644067414260056,7.857575935930307,863,5137,,,
net,14,entropy,1.0002954617163788,0.9920989803787217,1.009399839255498,863,5137,0.5019312099910878,0.4816338259829675,0.5220033750288623
net+mix,14,width80,0.9985977224220415,0.9531579251041491,1.0599569339905845,863,5137,0.5018346664092171,0.48151174094445437,0.5220945837161851
net+mix,14,error,7.100954367846564,6.6074837234411925,7.799978739982517,863,5137,,,
net+mix,14,entropy,1.0007786958727607,0.9931349783687592,1.006615728124275,863,5137,0.5019086530794358,0.48165730172067545,0.52193393743379
bayes(rho=0),14,width80,1.0142351511512473,0.9690410331019631,1.0809524387053433,863,5137,0.5030624391104366,0.4828475558931118,0.5232812383909521
bayes(rho=0),14,error,5.629622980887447,5.027330182708011,6.122181929551265,863,5137,,,
bayes(rho=0),14,entropy,1.0016478237050916,0.995543316594514,1.0097532193384258,863,5137,0.5030175508562491,0.48278019339096856,0.5233768637636723
bayes(rho=0)@cluster,14,width80,1.0143189591574344,0.9691329176109822,1.0829792589939498,863,5137,0.5028321330424694,0.48255746227394103,0.5232108396686195
bayes(rho=0)@cluster,14,error,5.788702433146375,5.12529100193232,6.258722530594212,863,5137,,,
bayes(rho=0)@cluster,14,entropy,1.0012629730037785,0.9952322847109225,1.0095855646922987,863,5137,0.5024583650163955,0.48223798050963,0.5227677137284517
bayes(rho=0)+mix,14,width80,1.0134544848414158,0.983082378044441,1.0533400956979482,863,5137,0.5031993595641644,0.4830590084167693,0.5234626692528668
bayes(rho=0)+mix,14,error,5.532146400413457,4.914285321012332,5.980812350701692,863,5137,,,
bayes(rho=0)+mix,14,entropy,1.001643497978632,0.9971823251069885,1.0075959141844897,863,5137,0.5031984572876983,0.48325961135146517,0.5232352319588954
bayes(rho=0.177),14,width80,1.0022049094292822,0.9895409186144913,1.0140745790658903,863,5137,0.5032631956241396,0.48385409324721496,0.5236738169666943
bayes(rho=0.177),14,error,2.1074564898290284,1.9079748300781891,2.2740354498515236,863,5137,,,
bayes(rho=0.177),14,entropy,1.0003559039512209,0.9985243243190501,1.0024213783996112,863,5137,0.5033554533927964,0.4837754788685716,0.5236371211515014
net,20,width80,0.9263795915670587,0.8409979902681044,1.0235810141089743,863,5137,0.4928746099628014,0.47218837569115607,0.5133630570485241
net,20,error,10.136181507905714,9.325115423481837,11.032986010743945,863,5137,,,
