model,k,quantity,ratio_mover_over_stayer,lo95,hi95,n_mover,n_stayer,auc,auc_lo95,auc_hi95
prior,0,width80,1.0,1.0,1.0,896,5104,,,
prior,0,error,0.9984915256500244,0.9227819442749023,1.089716911315918,896,5104,,,
prior,0,entropy,1.0,1.0,1.0,896,5104,,,
net,5,width80,0.9751939932025351,0.9406057289181734,1.0255294200982916,896,5104,0.48602374188311687,0.46453907103716596,0.5053017067790294
net,5,error,3.0575346176271823,2.836890479563069,3.300663772222013,896,5104,,,
net,5,entropy,0.9957200853021629,0.9905416022067206,1.0038844042339106,896,5104,0.48994486117330943,0.46907247689847,0.5090942398416867
net+mix,5,width80,0.9910311487636161,0.963156076655652,1.0203274659138954,896,5104,0.4855634498852441,0.4644393135325202,0.5046909460709141
net+mix,5,error,3.000220115430189,2.7571605767903042,3.222832518897181,896,5104,,,
net+mix,5,entropy,0.9982948714478368,0.9943806540432417,1.0025705079633973,896,5104,0.49027023622928795,0.4700102344887083,0.5097392611321734
bayes(rho=0),5,width80,0.9875325069990692,0.9533649252102393,1.0086037208436784,896,5104,0.4834395467140618,0.4620792097369759,0.5027804043460004
bayes(rho=0),5,error,2.624438255312488,2.37144124956801,2.867074945302247,896,5104,,,
bayes(rho=0),5,entropy,0.9999639116182709,0.9966410113200673,1.0019887735816455,896,5104,0.48913229819749215,0.467931463264653,0.5089673171771331
bayes(rho=0)@cluster,5,width80,0.9845487510770417,0.9558933398854814,1.0120578398678826,896,5104,0.4831753981471115,0.46190634581049006,0.5026059342509838
bayes(rho=0)@cluster,5,error,2.7353759216613875,2.469456384481868,2.950582808477914,896,5104,,,
bayes(rho=0)@cluster,5,entropy,0.9996267867717632,0.9967027359492927,1.0019292534231854,896,5104,0.4888451896971563,0.46762268442313565,0.5086305215247393
bayes(rho=0)+mix,5,width80,0.9848526125450229,0.9629977919651868,1.0032402376918406,896,5104,0.48377869773007165,0.4624507026758819,0.5033533240842359
bayes(rho=0)+mix,5,error,2.441938014078987,2.197453075377829,2.6871317947146056,896,5104,,,
bayes(rho=0)+mix,5,entropy,0.9999455122775289,0.997546076306456,1.0011233484954138,896,5104,0.48920095933161667,0.4683319198512761,0.5088809710640888
net,14,width80,1.0001011263820667,0.9315267527841716,1.0644161464175614,896,5104,0.49131852118786384,0.47171581641753085,0.5113313917303608
net,14,error,7.174815219636543,6.608664013172531,7.764172061271131,896,5104,,,
net,14,entropy,0.999439526680726,0.9912751971321035,1.0058418717304385,896,5104,0.49100386076746527,0.4710830765686801,0.5112223571434716
net+mix,14,width80,1.002409553451562,0.9492011402390969,1.0412233701134366,896,5104,0.49010077005429914,0.4703600085579776,0.5100966835515637
net+mix,14,error,7.045663796060865,6.4926326134454335,7.666212528180286,896,5104,,,
net+mix,14,entropy,0.9999442320801242,0.9937131702563297,1.0042899827649143,896,5104,0.49109679383116883,0.4709568248345473,0.51125389404706
bayes(rho=0),14,width80,0.9574458745528859,0.895626889025288,1.007715101083187,896,5104,0.48919243135635915,0.4684335690856445,0.5094680758055664
bayes(rho=0),14,error,5.3674727624048275,4.825018214282418,5.803911986388753,896,5104,,,
