model,k,group,n,median_km,p90_km,within_150km,logscore,entropy_bits,area50_km2,cover50,cover50_lo,cover50_hi,area80_km2,cover80,cover80_lo,cover80_hi,area95_km2,cover95,cover95_lo,cover95_hi
prior,0,all,6000,1353.769775390625,3895.77880859375,0.08233333333333333,-9.63056982798911,13.934985063006739,488255.90625,0.5148333333333334,,,1868377.5,0.8121666666666667,,,3927309.25,0.9526666666666667,,
prior,0,stayer,5137,1358.1988525390625,3896.70703125,0.08117578353124391,-9.629245640401404,13.934985063006739,488255.90625,0.5156706248783337,0.5019974985250149,0.5293203308358432,1868377.5,0.8102005061319837,0.7992464937387898,0.8206909110627898,3927309.25,0.9523067938485498,0.9461332005491658,0.9578043959719953
prior,0,mover,863,1335.57666015625,3887.356689453125,0.08922363847045191,-9.638452043096931,13.934985063006739,488255.90625,0.5098493626882966,0.4765265574390313,0.5430848686854187,1868377.5,0.8238702201622248,0.797035339013221,0.8478344964907512,3927309.25,0.9548088064889919,0.9388187195595993,0.9667677220694134
prior,0,mover_0_500km,113,885.30419921875,3819.20458984375,0.168141592920354,-9.321353401098056,13.934985063006739,488255.90625,0.5752212389380531,,,1868377.5,0.831858407079646,,,3927309.25,1.0,,
prior,0,mover_500_1500km,319,1193.73583984375,2334.763916015625,0.07836990595611286,-9.68626702624505,13.934985063006739,488255.90625,0.4827586206896552,,,1868377.5,0.8275862068965517,,,3927309.25,0.9686520376175548,,
prior,0,mover_1500km_plus,431,1781.9578857421875,3940.8876953125,0.0765661252900232,-9.68619953015406,13.934985063006739,488255.90625,0.5127610208816705,,,1868377.5,0.8190255220417634,,,3927309.25,0.9327146171693735,,
net,1,all,6000,1170.4498291015625,3697.5855224609377,0.11533333333333333,-9.42659562364161,14.057598439763101,499424.53125,0.573,,,1850589.0,0.838,,,3760082.0,0.96,,
net,1,stayer,5137,1146.7857666015625,3737.7462890625043,0.12439166828888457,-9.330604786830692,14.057598439763101,499424.53125,0.6030757251313996,0.5896239421822643,0.6163734571540621,1850589.0,0.8582830445785478,0.848477771401874,0.8675528489541392,3760082.0,0.9665174226202063,0.9612388659673191,0.9710987497258
net,1,mover,863,1413.8448486328125,3447.6420898437505,0.06141367323290846,-9.997980245539285,14.057598439763101,499424.53125,0.3939745075318656,0.3619123644085704,0.42697640142823295,1850589.0,0.7172653534183082,0.6863081391277017,0.7462968489116355,3760082.0,0.9212050984936269,0.9013060614907341,0.937370808654861
net,1,mover_0_500km,113,502.6466064453125,3372.3691894531244,0.1504424778761062,-9.166770373390575,13.771113423384895,428233.5,0.6194690265486725,,,1684808.375,0.8672566371681416,,,3760082.0,1.0,,
net,1,mover_500_1500km,319,1159.8448486328125,2481.381982421875,0.03761755485893417,-10.187075462676756,14.071177735955866,499424.53125,0.31347962382445144,,,1888495.125,0.677115987460815,,,3760082.0,0.9435736677115988,,
net,1,mover_1500km_plus,431,1841.6983642578125,3841.34228515625,0.05568445475638051,-10.075950874973046,14.057598439763101,499424.53125,0.39443155452436196,,,1850589.0,0.7076566125290024,,,3760082.0,0.8839907192575406,,
net+mix,1,all,6000,1146.590087890625,3697.5855224609377,0.11716666666666667,-9.416942469833394,14.081355988887374,551912.25,0.592,,,1886015.125,0.8461666666666666,,,3820043.25,0.9633333333333334,,
net+mix,1,stayer,5137,1044.25634765625,3737.7462890625043,0.1255596651742262,-9.339683010407812,14.081355988887374,551912.25,0.6159236908701576,0.6025410833074167,0.6291330456912281,1886015.125,0.8619817013821296,0.8522785260782775,0.8711438800896152,3820043.25,0.9678800856531049,0.962697900331232,0.9723630048715269
net+mix,1,mover,863,1393.5167236328125,3427.314257812501,0.06720741599073002,-9.876828730632015,14.081355988887374,551912.25,0.4495944380069525,0.4167010529762115,0.4829345897986622,1886015.125,0.7520278099652375,0.7221414023263142,0.7796803837993171,3820043.25,0.936268829663963,0.917959305776066,0.9507115102069235
net+mix,1,mover_0_500km,113,636.0968627929688,3366.8945312499995,0.1504424778761062,-9.15309714982029,13.829705350360733,454811.21875,0.6283185840707964,,,1743959.625,0.8761061946902655,,,3820043.25,1.0,,
net+mix,1,mover_500_1500km,319,1168.551025390625,2434.52421875,0.0438871473354232,-10.029463322754388,14.152830034943097,551912.25,0.3887147335423197,,,2004065.125,0.7304075235109718,,,3820043.25,0.9623824451410659,,
net+mix,1,mover_1500km_plus,431,1773.8056640625,3841.34228515625,0.06264501160092807,-9.953606535144049,14.081355988887374,551912.25,0.44779582366589327,,,1886015.125,0.7354988399071926,,,3820043.25,0.9002320185614849,,
bayes(rho=0),1,all,6000,1103.984619140625,3803.958251953125,0.11416666666666667,-9.381685468564859,13.792067356755155,457187.3125,0.5456666666666666,,,1648609.75,0.8311666666666667,,,3628482.25,0.9593333333333334,,
