model,k,group,n,median_km,p90_km,within_150km,logscore,entropy_bits,area50_km2,cover50,cover50_lo,cover50_hi,area80_km2,cover80,cover80_lo,cover80_hi,area95_km2,cover95,cover95_lo,cover95_hi
prior,0,all,6000,1398.568359375,3890.88671875,0.07633333333333334,-9.66543675425282,13.934985063006739,488255.90625,0.49233333333333335,,,1868377.5,0.8046666666666666,,,3927309.25,0.9491666666666667,,
prior,0,stayer,5104,1398.568359375,3893.330078125,0.07562695924764891,-9.665154097348658,13.934985063006739,488255.90625,0.49079153605015674,0.4770885785026258,0.5045083449415153,1868377.5,0.8042711598746082,0.7931589817256676,0.8149256542583457,3927309.25,0.9488636363636364,0.9424756858869161,0.9545764075061132
prior,0,mover,896,1396.4586181640625,3879.406494140625,0.08035714285714286,-9.667046889117602,13.934985063006739,488255.90625,0.5011160714285714,0.4684418460282581,0.5337807673739229,1868377.5,0.8069196428571429,0.7797857292580328,0.831432956341744,3927309.25,0.9508928571428571,0.9347180571869138,0.9632177572942127
prior,0,mover_0_500km,112,985.4622802734375,3864.097412109375,0.17857142857142858,-9.427006295367319,13.934985063006739,488255.90625,0.5714285714285714,,,1868377.5,0.8392857142857143,,,3927309.25,0.9642857142857143,,
prior,0,mover_500_1500km,334,1192.83642578125,2599.783935546875,0.0658682634730539,-9.822137138844793,13.934985063006739,488255.90625,0.4251497005988024,,,1868377.5,0.8053892215568862,,,3927309.25,0.9431137724550899,,
prior,0,mover_1500km_plus,450,1765.720703125,3947.71533203125,0.06666666666666667,-9.611678895986824,13.934985063006739,488255.90625,0.54,,,1868377.5,0.8,,,3927309.25,0.9533333333333334,,
net,5,all,6000,653.4564514160156,3029.7009033203126,0.21466666666666667,-8.871545055413097,13.348780636281232,296370.40625,0.5706666666666667,,,1185196.75,0.8378333333333333,,,3133061.125,0.9585,,
net,5,stayer,5104,500.2367401123047,2824.7885986328115,0.2458855799373041,-8.589545758949008,13.355728633824464,297516.3125,0.6347962382445141,0.6214899631386601,0.6478997532534849,1186655.625,0.8947884012539185,0.8860717245365277,0.9029112384433735,3138038.625,0.9796238244514106,0.975371731383141,0.983154468802863
net,5,mover,896,1529.4911499023438,3468.83251953125,0.036830357142857144,-10.477933904913893,13.298567254544235,292023.84375,0.20535714285714285,0.1801905440182132,0.2330395178060012,1157219.4375,0.5133928571428571,0.4806778105325805,0.5459935502935914,3111167.5,0.8381696428571429,0.8126185965760553,0.8608332642847896
net,5,mover_0_500km,112,454.55577087402344,3087.748437500001,0.1875,-8.971764177030703,13.139543099529,260213.1484375,0.5,,,991335.875,0.8571428571428571,,,3028261.125,0.9642857142857143,,
net,5,mover_500_1500km,334,1140.9949340820312,2381.026318359374,0.011976047904191617,-10.66821342456834,13.25421317071697,290649.21875,0.17065868263473055,,,1089257.3125,0.4431137724550898,,,2971425.0,0.8383233532934131,,
net,5,mover_1500km_plus,450,2235.1051025390625,3832.2142333984375,0.017777777777777778,-10.711573127043517,13.397152625364548,299252.890625,0.15777777777777777,,,1213338.75,0.48,,,3198257.5,0.8066666666666666,,
net+mix,5,all,6000,654.0218811035156,3064.8465332031265,0.214,-8.880953381652605,13.561431531253817,362021.703125,0.6058333333333333,,,1373776.375,0.8695,,,3415345.625,0.969,,
net+mix,5,stayer,5104,500.7803955078125,2903.0116210937495,0.2445141065830721,-8.651188553250918,13.562875532388308,362022.8125,0.6669278996865203,0.6538762860301424,0.6797284208973393,1378291.0625,0.9098746081504702,0.9017070027261926,0.9174256814196899,3416513.375,0.9802115987460815,0.9760139286139429,0.9836869360330736
net+mix,5,mover,896,1502.451416015625,3465.6375732421875,0.04017857142857143,-10.189792314869356,13.539749086068596,354185.171875,0.2578125,0.23024645922013012,0.2874464325065916,1365929.375,0.6395089285714286,0.6075355838756552,0.6702910913969705,3402648.625,0.9051339285714286,0.8841800664403656,0.9226285985513396
net+mix,5,mover_0_500km,112,445.8083953857422,2944.2210937500013,0.1875,-8.957775088290967,13.42651360581317,318511.015625,0.5267857142857143,,,1228365.625,0.8928571428571429,,,3357528.625,0.9732142857142857,,
net+mix,5,mover_500_1500km,334,1129.3878173828125,2179.910864257812,0.014970059880239521,-10.383538159956332,13.498183725195732,354185.171875,0.2155688622754491,,,1317591.1875,0.5568862275449101,,,3306186.625,0.9251497005988024,,
