model,k,n,median_km,p90_km,within_150km,state_acc,logscore,calib_err,cover50,cover80,cover95
net,1,2000,1192.671875,3698.325439453125,0.1085,0.1135,-9.51907596611482,0.02300000000000002,0.543,0.8215,0.9545
bayes(rho=0),1,2000,1123.0423583984375,3832.6181640625,0.1135,0.101,-9.4629510434206,0.013499999999999993,0.5205,0.8175,0.9525
bayes(rho=.177),1,2000,1123.0423583984375,3832.6181640625,0.1135,0.101,-9.4629510434206,0.013499999999999993,0.5205,0.8175,0.9525
net,2,2000,1075.062255859375,3655.25341796875,0.13,0.1325,-9.337667822159508,0.028166666666666635,0.5565,0.825,0.953
bayes(rho=0),2,2000,1025.54736328125,3829.15576171875,0.119,0.107,-9.293872886509883,0.025833333333333337,0.543,0.8245,0.96
bayes(rho=.177),2,2000,999.0460815429688,3836.42919921875,0.119,0.1045,-9.327966537389456,0.025833333333333337,0.544,0.824,0.9595
net,3,2000,870.889892578125,3332.75244140625,0.1795,0.2115,-9.183889896545526,0.023666666666666652,0.548,0.819,0.954
bayes(rho=0),3,2000,942.2244873046875,3521.974609375,0.164,0.1655,-9.150035800587844,0.029000000000000026,0.55,0.8265,0.9605
bayes(rho=.177),3,2000,1058.2490234375,3633.83837890625,0.1465,0.1355,-9.234459176329667,0.03883333333333335,0.562,0.841,0.9635
net,4,2000,767.4765625,3185.844970703125,0.207,0.2365,-9.03663115557326,0.029000000000000026,0.561,0.8205,0.9555
bayes(rho=0),4,2000,855.6210327148438,3342.469970703125,0.1865,0.2135,-9.009194929154367,0.03316666666666668,0.559,0.8305,0.96
bayes(rho=.177),4,2000,977.0341796875,3594.399658203125,0.167,0.1705,-9.157782509376887,0.04366666666666663,0.571,0.844,0.966
net,5,2000,653.6849365234375,3062.67724609375,0.227,0.2575,-8.907465927580901,0.03199999999999995,0.564,0.823,0.959
bayes(rho=0),5,2000,685.1810302734375,3170.024169921875,0.2035,0.2405,-8.878889160682586,0.033999999999999996,0.5575,0.8375,0.957
bayes(rho=.177),5,2000,896.75048828125,3530.678466796875,0.176,0.1885,-9.088286333794239,0.05383333333333332,0.582,0.863,0.9665
net,6,2000,604.0255126953125,2891.910888671875,0.2465,0.286,-8.82538888094211,0.031166666666666676,0.5635,0.8195,0.9605
bayes(rho=0),6,2000,670.814697265625,3172.767822265625,0.216,0.2675,-8.787561280534272,0.034999999999999955,0.563,0.837,0.955
bayes(rho=.177),6,2000,912.1210327148438,3532.464599609375,0.1765,0.2065,-9.05835792335408,0.056999999999999974,0.587,0.866,0.968
net,7,2000,544.8663330078125,2633.530029296875,0.261,0.3065,-8.732127159464783,0.032999999999999995,0.5655,0.8225,0.961
bayes(rho=0),7,2000,617.1312255859375,2753.490478515625,0.23,0.2955,-8.691998623045368,0.03633333333333333,0.568,0.8345,0.9565
bayes(rho=.177),7,2000,874.1354370117188,3423.277587890625,0.1815,0.224,-9.023037804948062,0.06200000000000002,0.5995,0.869,0.9675
net,8,2000,513.96826171875,2574.34912109375,0.281,0.331,-8.643430590386314,0.03783333333333331,0.575,0.827,0.9615
bayes(rho=0),8,2000,567.105224609375,2781.37841796875,0.251,0.326,-8.595904674265272,0.03766666666666666,0.5735,0.838,0.9515
bayes(rho=.177),8,2000,841.946533203125,3387.981201171875,0.1835,0.2295,-8.992887692355001,0.06799999999999999,0.609,0.878,0.967
net,9,2000,468.9652099609375,2515.64404296875,0.2955,0.3495,-8.569100264038513,0.03450000000000001,0.5695,0.8255,0.9585
bayes(rho=0),9,2000,536.6507568359375,2753.0888671875,0.262,0.3415,-8.51901001067337,0.03733333333333333,0.572,0.8375,0.9525
bayes(rho=.177),9,2000,854.8168334960938,3420.48046875,0.185,0.2295,-8.971587752838644,0.0685,0.611,0.8745,0.97
net,10,2000,425.7749328613281,2457.682373046875,0.312,0.3595,-8.490403876431202,0.03833333333333333,0.5745,0.8275,0.963
bayes(rho=0),10,2000,503.6076965332031,2619.47314453125,0.2745,0.36,-8.445422153789918,0.037666666666666626,0.577,0.832,0.946
bayes(rho=.177),10,2000,849.93408203125,3269.96875,0.1845,0.229,-8.950041531313149,0.07050000000000001,0.613,0.879,0.9695
