ordering,k,n,median_km,mean_km,p90_km,within_150km,state_acc,logscore,calib_err,cover50,cover80,cover95,d_vs_mi,d_lo,d_hi,win_rate,tie_rate,same_set
mi,1,8000,1109.880126953125,1415.748779296875,3806.438720703125,0.108,0.10425,-9.434905304301864,0.01824999999999999,0.527125,0.820875,0.95675,0.0,0.0,0.0,0.0,1.0,1
mi,2,8000,982.6187744140625,1407.434814453125,3768.673095703125,0.124375,0.115875,-9.264284837334095,0.02979166666666666,0.545,0.832375,0.962,0.0,0.0,0.0,0.0,1.0,1
mi,3,8000,908.2577514648438,1315.7659912109375,3515.8935546875,0.166375,0.1765,-9.11039014777799,0.036125,0.557875,0.837625,0.962875,0.0,0.0,0.0,0.0,1.0,1
mi,4,8000,836.544189453125,1217.156005859375,3271.4228515625,0.182875,0.214375,-8.973714857099033,0.043333333333333335,0.56775,0.847,0.96525,0.0,0.0,0.0,0.0,1.0,1
mi,5,8000,707.7703247070312,1166.703125,3232.566162109375,0.20075,0.241625,-8.849821892100532,0.04466666666666667,0.572125,0.847625,0.96425,0.0,0.0,0.0,0.0,1.0,1
mi,6,8000,680.663818359375,1147.158447265625,3214.22509765625,0.21125,0.27025,-8.748242653085173,0.04712500000000001,0.58025,0.847375,0.96375,0.0,0.0,0.0,0.0,1.0,1
mi,7,8000,608.6903686523438,1010.9253540039062,2757.01416015625,0.229625,0.300875,-8.642149631729986,0.04999999999999997,0.591,0.851625,0.957375,0.0,0.0,0.0,0.0,1.0,1
mi,8,8000,562.119873046875,978.9181518554688,2719.937255859375,0.24975,0.326375,-8.556669613308115,0.050500000000000024,0.59225,0.852875,0.956375,0.0,0.0,0.0,0.0,1.0,1
mi,9,8000,522.0785522460938,945.247802734375,2668.418701171875,0.2635,0.34525,-8.46693145569777,0.05229166666666666,0.59775,0.85475,0.954375,0.0,0.0,0.0,0.0,1.0,1
mi,10,8000,484.9106750488281,916.2588500976562,2639.343994140625,0.2775,0.363875,-8.388192159607343,0.051791666666666646,0.59825,0.85575,0.951375,0.0,0.0,0.0,0.0,1.0,1
mi,11,8000,447.86767578125,896.6104125976562,2576.115966796875,0.291625,0.373625,-8.323222391533214,0.052083333333333336,0.60025,0.855375,0.950625,0.0,0.0,0.0,0.0,1.0,1
mi,12,8000,418.28399658203125,865.3301391601562,2532.4619140625,0.306125,0.3885,-8.262353180583778,0.053083333333333295,0.602,0.853625,0.946375,0.0,0.0,0.0,0.0,1.0,1
