rake,sigma,gamma,alpha,logloss,r_pop,r_soda,r_coke,modal
0,2.0,1.0,0.0,0.91286,0.7813,0.6777,0.8150,0.8590
0,2.0,1.0,0.02,0.89237,0.7877,0.6908,0.8171,0.8588
0,2.0,1.0,0.05,0.88959,0.7928,0.7002,0.8182,0.8596
0,2.0,1.0,0.15,0.89019,0.8001,0.7164,0.8195,0.8593
0,2.0,1.5,0.0,0.82096,0.7878,0.7152,0.8243,0.8812
0,2.0,1.5,0.02,0.78393,0.7993,0.7279,0.8231,0.8819
0,2.0,1.5,0.05,0.77920,0.8034,0.7321,0.8217,0.8829
0,2.0,1.5,0.15,0.77756,0.8034,0.7337,0.8154,0.8796
0,2.0,2.0,0.0,0.81184,0.7885,0.7225,0.8242,0.8850
0,2.0,2.0,0.02,0.75668,0.8037,0.7193,0.8151,0.8844
0,2.0,2.0,0.05,0.75162,0.8020,0.7116,0.8064,0.8820
0,2.0,2.0,0.15,0.75085,0.7876,0.6954,0.7837,0.8642
0,2.0,2.5,0.0,0.84332,0.7871,0.7208,0.8210,0.8863
0,2.0,2.5,0.02,0.77094,0.7944,0.6773,0.7900,0.8790
0,2.0,2.5,0.05,0.76763,0.7809,0.6579,0.7658,0.8622
0,2.0,2.5,0.15,0.77199,0.7493,0.6291,0.7195,0.8477
0,2.0,3.0,0.0,0.89557,0.7849,0.7162,0.8167,0.8859
0,2.0,3.0,0.02,0.81001,0.7658,0.6170,0.7402,0.8581
0,2.0,3.0,0.05,0.81168,0.7398,0.5902,0.6979,0.8468
0,2.0,3.0,0.15,0.82679,0.6942,0.5536,0.6312,0.8112
0,3.0,1.0,0.0,0.89336,0.8057,0.7110,0.8353,0.8678
0,3.0,1.0,0.02,0.88205,0.8103,0.7223,0.8377,0.8686
0,3.0,1.0,0.05,0.88089,0.8140,0.7311,0.8388,0.8688
0,3.0,1.0,0.15,0.88366,0.8187,0.7452,0.8396,0.8674
0,3.0,1.5,0.0,0.79371,0.8109,0.7436,0.8453,0.8813
0,3.0,1.5,0.02,0.76996,0.8193,0.7555,0.8453,0.8823
0,3.0,1.5,0.05,0.76693,0.8218,0.7584,0.8440,0.8840
0,3.0,1.5,0.15,0.76745,0.8191,0.7564,0.8377,0.8790
0,3.0,2.0,0.0,0.78246,0.8112,0.7488,0.8467,0.8832
0,3.0,2.0,0.02,0.74355,0.8214,0.7438,0.8401,0.8834
0,3.0,2.0,0.05,0.74017,0.8178,0.7333,0.8317,0.8833
0,3.0,2.0,0.15,0.74147,0.8015,0.7135,0.8093,0.8693
0,3.0,2.5,0.0,0.81382,0.8098,0.7457,0.8450,0.8849
0,3.0,2.5,0.02,0.76059,0.8093,0.6971,0.8183,0.8780
0,3.0,2.5,0.05,0.75882,0.7946,0.6752,0.7946,0.8689
0,3.0,2.5,0.15,0.76530,0.7626,0.6436,0.7474,0.8425
0,3.0,3.0,0.0,0.86669,0.8076,0.7404,0.8421,0.8872
0,3.0,3.0,0.02,0.80306,0.7788,0.6329,0.7716,0.8654
0,3.0,3.0,0.05,0.80630,0.7529,0.6039,0.7284,0.8441
0,3.0,3.0,0.15,0.82413,0.7069,0.5645,0.6592,0.8068
0,4.0,1.0,0.0,0.88040,0.8259,0.7412,0.8505,0.8766
0,4.0,1.0,0.02,0.87409,0.8289,0.7502,0.8530,0.8698
0,4.0,1.0,0.05,0.87406,0.8313,0.7576,0.8541,0.8698
0,4.0,1.0,0.15,0.87849,0.8333,0.7688,0.8546,0.8689
0,4.0,1.5,0.0,0.77477,0.8302,0.7679,0.8611,0.8886
0,4.0,1.5,0.02,0.75885,0.8359,0.7779,0.8619,0.8894
0,4.0,1.5,0.05,0.75715,0.8369,0.7793,0.8607,0.8819
0,4.0,1.5,0.15,0.75944,0.8316,0.7742,0.8546,0.8807
0,4.0,2.0,0.0,0.76093,0.8306,0.7712,0.8634,0.8924
0,4.0,2.0,0.02,0.73330,0.8364,0.7638,0.8590,0.8926
0,4.0,2.0,0.05,0.73124,0.8309,0.7509,0.8515,0.8824
0,4.0,2.0,0.15,0.73427,0.8130,0.7284,0.8299,0.8734
0,4.0,2.5,0.0,0.79197,0.8293,0.7674,0.8628,0.8936
0,4.0,2.5,0.02,0.75270,0.8220,0.7141,0.8410,0.8872
0,4.0,2.5,0.05,0.75212,0.8064,0.6906,0.8186,0.8680
0,4.0,2.5,0.15,0.76038,0.7745,0.6573,0.7723,0.8486
0,4.0,3.0,0.0,0.84573,0.8273,0.7619,0.8610,0.8945
0,4.0,3.0,0.02,0.79779,0.7902,0.6483,0.7988,0.8716
0,4.0,3.0,0.05,0.80219,0.7649,0.6182,0.7563,0.8478
0,4.0,3.0,0.15,0.82237,0.7199,0.5772,0.6877,0.8072
0,6.0,1.0,0.0,0.86804,0.8508,0.7833,0.8675,0.8794
0,6.0,1.0,0.02,0.86647,0.8515,0.7886,0.8693,0.8792
0,6.0,1.0,0.05,0.86777,0.8519,0.7932,0.8707,0.8790
0,6.0,1.0,0.15,0.87436,0.8502,0.7991,0.8713,0.8815
0,6.0,1.5,0.0,0.75383,0.8562,0.8006,0.8792,0.8947
0,6.0,1.5,0.02,0.74650,0.8574,0.8067,0.8807,0.8950
0,6.0,1.5,0.05,0.74644,0.8557,0.8055,0.8799,0.8945
0,6.0,1.5,0.15,0.75112,0.8468,0.7960,0.8741,0.8944
0,6.0,2.0,0.0,0.73697,0.8581,0.8015,0.8827,0.8989
0,6.0,2.0,0.02,0.72154,0.8558,0.7899,0.8804,0.8977
0,6.0,2.0,0.05,0.72118,0.8476,0.7742,0.8740,0.8938
0,6.0,2.0,0.15,0.72664,0.8277,0.7490,0.8544,0.8846
0,6.0,2.5,0.0,0.76745,0.8579,0.7971,0.8831,0.8997
0,6.0,2.5,0.02,0.74344,0.8388,0.7389,0.8671,0.8903
0,6.0,2.5,0.05,0.74437,0.8223,0.7143,0.8475,0.8823
0,6.0,2.5,0.15,0.75500,0.7915,0.6805,0.8059,0.8603
0,6.0,3.0,0.0,0.82171,0.8566,0.7915,0.8822,0.8994
0,6.0,3.0,0.02,0.79120,0.8067,0.6746,0.8328,0.8782
0,6.0,3.0,0.05,0.79669,0.7829,0.6446,0.7952,0.8624
0,6.0,3.0,0.15,0.81954,0.7412,0.6037,0.7329,0.8255
0,8.0,1.0,0.0,0.86728,0.8605,0.8011,0.8743,0.8929
0,8.0,1.0,0.02,0.86753,0.8605,0.8045,0.8757,0.8936
0,8.0,1.0,0.05,0.86954,0.8601,0.8075,0.8769,0.8943
0,8.0,1.0,0.15,0.87738,0.8568,0.8105,0.8776,0.8961
0,8.0,1.5,0.0,0.74778,0.8679,0.8134,0.8857,0.9099
0,8.0,1.5,0.02,0.74415,0.8675,0.8179,0.8872,0.9102
0,8.0,1.5,0.05,0.74493,0.8645,0.8160,0.8870,0.9102
0,8.0,1.5,0.15,0.75101,0.8539,0.8050,0.8819,0.9086
0,8.0,2.0,0.0,0.72796,0.8714,0.8132,0.8893,0.9128
0,8.0,2.0,0.02,0.71826,0.8656,0.8025,0.8889,0.9118
0,8.0,2.0,0.05,0.71879,0.8561,0.7867,0.8835,0.9083
0,8.0,2.0,0.15,0.72577,0.8356,0.7609,0.8651,0.8973
0,8.0,2.5,0.0,0.75688,0.8723,0.8085,0.8900,0.9147
0,8.0,2.5,0.02,0.74031,0.8482,0.7549,0.8784,0.9048
0,8.0,2.5,0.05,0.74207,0.8314,0.7304,0.8603,0.8969
0,8.0,2.5,0.15,0.75404,0.8019,0.6978,0.8237,0.8722
0,8.0,3.0,0.0,0.81094,0.8715,0.8028,0.8894,0.9154
0,8.0,3.0,0.02,0.78845,0.8170,0.6942,0.8482,0.8912
0,8.0,3.0,0.05,0.79422,0.7947,0.6660,0.8161,0.8788
0,8.0,3.0,0.15,0.81793,0.7556,0.6272,0.7629,0.8419
1,2.0,1.0,0.0,0.78195,0.8309,0.7412,0.8461,0.9009
1,2.0,1.0,0.02,0.76034,0.8388,0.7516,0.8473,0.9011
1,2.0,1.0,0.05,0.75764,0.8416,0.7563,0.8478,0.9007
1,2.0,1.0,0.15,0.75813,0.8425,0.7624,0.8474,0.9001
1,2.0,1.5,0.0,0.79736,0.8067,0.7259,0.8228,0.9187
1,2.0,1.5,0.02,0.76184,0.8199,0.7360,0.8225,0.9182
1,2.0,1.5,0.05,0.75817,0.8215,0.7378,0.8215,0.9177
1,2.0,1.5,0.15,0.75810,0.8171,0.7371,0.8157,0.9152
1,2.0,2.0,0.0,0.82627,0.7799,0.7038,0.7962,0.8858
1,2.0,2.0,0.02,0.77549,0.7946,0.7011,0.7894,0.8814
1,2.0,2.0,0.05,0.77208,0.7915,0.6946,0.7823,0.8645
