State,County_Name,FIPS_State,FIPS_County,FIPS_combo,SUMCOUNT,SUMPOP,SUMSODA,SUMCOKE,SUMOTHER,PCTPOP,PCTSODA,PCTCOKE,PCTOTHER
Alabama,Autauga,01,001,01001,19,0,5,13,1,0,0.26316,0.68421,0.05263
Alabama,Baldwin,01,003,01003,78,1,5,70,2,0.01282,0.0641,0.89744,0.02564
Alabama,Barbour,01,005,01005,18,0,3,14,1,0,0.16667,0.77778,0.05556
Alabama,Bibb,01,007,01007,9,0,1,8,0,0,0.11111,0.88889,0
Alabama,Blount,01,009,01009,16,0,2,13,1,0,0.125,0.8125,0.0625
Alabama,Bullock,01,011,01011,10,0,9,1,0,0,0.9,0.1,0
Alabama,Butler,01,013,01013,9,0,2,7,0,0,0.22222,0.77778,0
Alabama,Calhoun,01,015,01015,85,1,18,62,4,0.01176,0.21176,0.72941,0.04706
Alabama,Chambers,01,017,01017,11,0,2,9,0,0,0.18182,0.81818,0
Alabama,Cherokee,01,019,01019,9,0,0,9,0,0,0,1,0
Alabama,Chilton,01,021,01021,16,0,2,12,2,0,0.125,0.75,0.125
Alabama,Choctaw,01,023,01023,3,0,1,2,0,0,0.33333,0.66667,0
Alabama,Clarke,01,025,01025,11,0,1,9,1,0,0.09091,0.81818,0.09091
Alabama,Clay,01,027,01027,2,0,0,2,0,0,0,1,0
Alabama,Cleburne,01,029,01029,3,0,2,1,0,0,0.66667,0.33333,0
Alabama,Coffee,01,031,01031,31,1,7,23,0,0.03226,0.22581,0.74194,0
Alabama,Colbert,01,033,01033,34,0,1,33,0,0,0.02941,0.97059,0
Alabama,Conecuh,01,035,01035,1,0,1,0,0,0,1,0,0
Alabama,Coosa,01,037,01037,2,0,0,1,1,0,0,0.5,0.5
Alabama,Covington,01,039,01039,19,0,1,14,4,0,0.05263,0.73684,0.21053
Alabama,Crenshaw,01,041,01041,3,0,0,2,1,0,0,0.66667,0.33333
Alabama,Cullman,01,043,01043,44,1,3,39,1,0.02273,0.06818,0.88636,0.02273
Alabama,Dale,01,045,01045,26,1,5,19,1,0.03846,0.19231,0.73077,0.03846
Alabama,Dallas,01,047,01047,21,1,1,17,2,0.04762,0.04762,0.80952,0.09524
Alabama,De Kalb,01,049,01049,33,0,3,30,0,0,0.09091,0.90909,0
Alabama,Elmore,01,051,01051,37,0,2,34,1,0,0.05405,0.91892,0.02703
Alabama,Escambia,01,053,01053,16,0,1,14,1,0,0.0625,0.875,0.0625
Alabama,Etowah,01,055,01055,55,0,8,43,4,0,0.14545,0.78182,0.07273
Alabama,Fayette,01,057,01057,3,0,2,0,1,0,0.66667,0,0.33333
Alabama,Franklin,01,059,01059,24,0,2,22,0,0,0.08333,0.91667,0
Alabama,Geneva,01,061,01061,7,0,1,5,1,0,0.14286,0.71429,0.14286
Alabama,Greene,01,063,01063,5,0,0,4,1,0,0,0.8,0.2
Alabama,Hale,01,065,01065,3,1,0,2,0,0.33333,0,0.66667,0
Alabama,Henry,01,067,01067,8,0,1,7,0,0,0.125,0.875,0
Alabama,Houston,01,069,01069,54,0,6,48,0,0,0.11111,0.88889,0
Alabama,Jackson,01,071,01071,29,1,3,24,1,0.03448,0.10345,0.82759,0.03448
Alabama,Jefferson,01,073,01073,553,13,60,445,35,0.02351,0.1085,0.8047,0.06329
Alabama,Lamar,01,075,01075,7,0,0,6,1,0,0,0.85714,0.14286
Alabama,Lauderdale,01,077,01077,98,0,7,91,0,0,0.07143,0.92857,0
Alabama,Lawrence,01,079,01079,15,0,2,13,0,0,0.13333,0.86667,0
Alabama,Lee,01,081,01081,112,2,12,91,7,0.01786,0.10714,0.8125,0.0625
Alabama,Limestone,01,083,01083,42,0,1,40,1,0,0.02381,0.95238,0.02381
Alabama,Lowndes,01,085,01085,3,0,0,2,1,0,0,0.66667,0.33333
Alabama,Macon,01,087,01087,4,0,0,4,0,0,0,1,0
Alabama,Madison,01,089,01089,424,0,69,340,15,0,0.16274,0.80189,0.03538
Alabama,Marengo,01,091,01091,6,0,0,5,1,0,0,0.83333,0.16667
Alabama,Marion,01,093,01093,20,0,2,18,0,0,0.1,0.9,0
Alabama,Marshall,01,095,01095,56,1,1,54,0,0.01786,0.01786,0.96429,0
Alabama,Mobile,01,097,01097,267,1,19,225,22,0.00375,0.07116,0.8427,0.0824
Alabama,Monroe,01,099,01099,8,0,0,7,1,0,0,0.875,0.125
Alabama,Montgomery,01,101,01101,157,4,11,130,12,0.02548,0.07006,0.82803,0.07643
Alabama,Morgan,01,103,01103,80,3,1,72,4,0.0375,0.0125,0.9,0.05
Alabama,Perry,01,105,01105,7,0,0,7,0,0,0,1,0
Alabama,Pickens,01,107,01107,5,0,1,3,1,0,0.2,0.6,0.2
Alabama,Pike,01,109,01109,10,0,2,8,0,0,0.2,0.8,0
Alabama,Randolph,01,111,01111,4,0,0,4,0,0,0,1,0
Alabama,Russell,01,113,01113,16,0,4,10,2,0,0.25,0.625,0.125
Alabama,St Clair,01,115,01115,23,0,4,19,0,0,0.17391,0.82609,0
Alabama,Shelby,01,117,01117,175,1,11,155,8,0.00571,0.06286,0.88571,0.04571
Alabama,Sumter,01,119,01119,4,0,0,3,1,0,0,0.75,0.25
Alabama,Talladega,01,121,01121,35,1,4,26,4,0.02857,0.11429,0.74286,0.11429
Alabama,Tallapoosa,01,123,01123,13,0,2,9,2,0,0.15385,0.69231,0.15385
Alabama,Tuscaloosa,01,125,01125,108,1,13,89,5,0.00926,0.12037,0.82407,0.0463
Alabama,Walker,01,127,01127,24,0,2,22,0,0,0.08333,0.91667,0
Alabama,Washington,01,129,01129,9,0,0,8,1,0,0,0.88889,0.11111
Alabama,Wilcox,01,131,01131,6,0,0,6,0,0,0,1,0
Alabama,Winston,01,133,01133,7,0,0,7,0,0,0,1,0
Alaska,Aleutians East,02,013,02013,3,1,0,0,2,0.33333,0,0,0.66667
Alaska,Aleutians West,02,016,02016,3,0,1,2,0,0,0.33333,0.66667,0
Alaska,Anchorage,02,020,02020,328,82,207,23,16,0.25,0.6311,0.07012,0.04878
Alaska,Bethel,02,050,02050,10,9,0,1,0,0.9,0,0.1,0
Alaska,Bristol Bay,02,060,02060,9,7,2,0,0,0.77778,0.22222,0,0
Alaska,Denali,02,068,02068,3,3,0,0,0,1,0,0,0
