state,pop,soda,coke,other,total
Alabama,153,582,2849,665,4249
Alaska,324,636,60,92,1112
Alberta,2185,69,55,48,2357
American Samoa,8,11,1,40,60
Arizona,586,2799,437,174,3996
Arkansas,154,347,1442,80,2023
British Columbia,2657,133,50,85,2925
California,925,20119,2892,1941,25877
Colorado,2909,1943,327,183,5362
Connecticut,70,4273,102,115,4560
Delaware,24,699,41,29,793
District of Columbia,35,442,57,40,574
Florida,344,5400,3642,1921,11307
Georgia,140,1425,4933,410,6908
Guam,6,19,7,30,62
Hawaii,35,673,36,76,820
Idaho,954,520,63,123,1660
Illinois,16400,7267,885,572,25124
Indiana,5591,1485,1989,363,9428
Iowa,6295,1227,67,173,7762
Kansas,2960,934,342,253,4489
Kentucky,1251,692,2248,329,4520
Louisiana,81,375,2739,597,3792
Maine,35,1418,21,74,1548
Manitoba,382,30,52,141,605
Maryland,208,5127,677,218,6230
Massachusetts,115,5874,240,1883,8112
Michigan,20493,10894,232,398,32017
Minnesota,11627,1745,119,311,13802
Mississippi,74,184,1435,102,1795
Missouri,1948,6733,541,230,9452
Montana,1061,284,37,73,1455
Nebraska,3045,661,54,119,3879
Nevada,119,849,136,52,1156
New Brunswick,509,21,14,9,553
New Hampshire,18,1428,34,255,1735
New Jersey,135,8306,263,201,8905
New Mexico,95,493,754,79,1421
New York,7607,16671,489,525,25292
Newfoundland,125,21,20,63,229
North Carolina,228,2671,1843,1008,5750
North Dakota,1136,253,15,25,1429
Northwest Territories,19,2,1,14,36
Nova Scotia,837,43,10,16,906
Nunavut,9,1,2,22,34
Ohio,19487,3082,450,490,23509
Oklahoma,1687,692,1486,151,4016
Ontario,6598,205,214,265,7282
Oregon,3086,1903,188,179,5356
Pennsylvania,13089,11395,331,450,25265
Prince Edward Island,115,9,1,18,143
Puerto Rico,6,85,88,47,226
Quebec,128,164,158,309,759
Rhode Island,15,934,16,43,1008
Saskatchewan,565,21,24,31,641
South Carolina,60,880,1283,237,2460
South Dakota,1152,313,22,32,1519
Tennessee,226,892,3656,323,5097
Texas,361,4813,14494,906,20574
Utah,858,1096,161,137,2252
Vermont,19,679,9,56,763
Virgin Islands,12,23,3,16,54
Virginia,562,5066,1457,620,7705
Washington,6772,3059,213,286,10330
West Virginia,1555,488,240,88,2371
Wisconsin,3410,8751,87,438,12686
Wyoming,463,150,74,318,1005
Yukon,30,3,2,22,57
No State/Province,3491,3663,1580,1501,10235
