title,id,file,respondents
Alls Construction,902,allsconstruction11.geojson,652
Bare Got Do Support,896,baregotdosupport.geojson,303
Contact Relatives,894,contactrelatives.geojson,807
Done your homework,893,donemyhomework8.geojson,539
After-perfect,889,afterperfect.geojson,349
All the faster,888,allthefaster.geojson,807
For to infinitives,872,for_to_1.geojson,349
Alls Construction,862,alls_construction_1.geojson,349
After Perfect,852,afterperf_1.geojson,349
Positive Anymore,842,convertcsv_1.geojson,899
Come with,832,convertcsv_0.geojson,349
Fixin' to,821,convertcsv.geojson,360
Likes/loves carried,783,survey12_fixed_4.geojson,573
Verbal Rather (Min / Max / Med),770,survey12_fixed_3.geojson,573
Verbal Rather (Min),769,survey12_refixed_0.geojson,573
Verbal Rather (Median),768,survey12_refixed.geojson,573
Verbal Rather (Max),767,survey12_fixed_0.geojson,573
Positive Anymore,766,survey12_0.geojson,573
Verbal Rather (All),765,survey12_fixed.geojson,573
Overview Map 2,727,sentence_overview_more_data_march_2019.geojson,2800
Relative that's SGPL,726,relthatssgpl_formap_0.geojson,151
Relative that's,713,relthats_subob.geojson,135
Dative presentatives,703,s9-_dative_presentatives.geojson,2031
Needs washed,701,s6b_needs_washed.geojson,1521
Verbal rather,700,s5b-_verbal_rather.geojson,510
Split Subjects,699,s5b-_split_subjects.geojson,510
Personal Datives,668,s6b-_personal_datives.geojson,1521
Home Page,665,map.geojson,2800
